k,cancor,p_perm,q_perm,n,p_proteins,p_metabolites,ridge_lambda,n_perms
1,0.9735004970267714,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
2,0.953277779348029,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
3,0.9409334396657137,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
4,0.9356085064903522,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
5,0.9070516851183528,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
6,0.890025953024697,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
7,0.8749072391958305,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
8,0.8647460554631857,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
9,0.8609417577716004,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
10,0.8380506010832158,0.004975124378109453,0.004975124378109453,10159,2919,249,1e-4,200
