module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
1,GO:1903035,negative regulation of response to wounding,10/65,101/18986,0.09900990099009901,28.920030464584922,16.489520097239303,1.6163517645924241e-12,1.2630253760607652e-9,9.302486153463928e-10,APCS/TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12/PTPRS,10
1,GO:0030193,regulation of blood coagulation,9/65,69/18986,0.13043478260869565,38.09899665551839,18.094663616841768,1.7515125720833498e-12,1.2630253760607652e-9,9.302486153463928e-10,F7/TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12,9
1,GO:1900046,regulation of hemostasis,9/65,71/18986,0.1267605633802817,37.02578548212351,17.82499416687402,2.289471980774801e-12,1.2630253760607652e-9,9.302486153463928e-10,F7/TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12,9
1,GO:0050818,regulation of coagulation,9/65,76/18986,0.11842105263157894,34.58987854251012,17.197265707138733,4.321776092062311e-12,1.5977399490481317e-9,1.1767739615186752e-9,F7/TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12,9
1,GO:0061045,negative regulation of wound healing,9/65,78/18986,0.11538461538461539,33.70295857988165,16.962954026074197,5.502708037700825e-12,1.5977399490481317e-9,1.1767739615186752e-9,APCS/TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12,9
1,GO:0030195,negative regulation of blood coagulation,8/65,50/18986,0.16,46.73476923076923,18.97917402460696,5.7924106914131665e-12,1.5977399490481317e-9,1.1767739615186752e-9,TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12,8
1,GO:1900047,negative regulation of hemostasis,8/65,51/18986,0.1568627450980392,45.8184012066365,18.784460635777762,6.85171662256187e-12,1.619941572905699e-9,1.1931259923197963e-9,TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12,8
1,GO:0050819,negative regulation of coagulation,8/65,54/18986,0.14814814814814814,43.272934472934466,18.232699096248606,1.110616777432729e-11,2.297588458313958e-9,1.6922292477198688e-9,TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12,8
1,GO:1903034,regulation of response to wounding,11/65,181/18986,0.06077348066298342,17.751466213344667,13.272275270406894,2.4938694120001523e-11,4.585948752066946e-9,3.377661729937049e-9,APCS/F7/TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12/PTPRS,11
1,GO:0061041,regulation of wound healing,10/65,140/18986,0.07142857142857142,20.863736263736264,13.82627851421087,4.353018402247397e-11,7.204245455719442e-9,5.30610032610788e-9,APCS/F7/TFPI/PROC/CPB2/PROS1/PLG/KLKB1/SERPINF2/F12,10
1,GO:0042060,wound healing,14/65,444/18986,0.03153153153153153,9.21011781011781,10.260121930096005,2.453426903751993e-10,3.69129229609959e-8,2.7187256981290028e-8,APCS/CCN1/F7/ERBB3/TFPI/PROC/F10/CPB2/PROS1/PLG/KLKB1/SERPINF2/ITGA2/F12,14
1,GO:0042730,fibrinolysis,6/65,27/18986,0.2222222222222222,64.9094017094017,19.477304634962046,3.55651735592304e-10,4.905030186710526e-8,3.612672893121825e-8,CPB2/PROS1/PLG/KLKB1/SERPINF2/F12,6
1,GO:0007596,blood coagulation,11/65,234/18986,0.04700854700854701,13.730834976988822,11.484998859105103,3.9288539738545e-10,5.001733328253229e-8,3.683897086415799e-8,F7/TFPI/PROC/F10/CPB2/PROS1/PLG/KLKB1/SERPINF2/ITGA2/F12,11
