dataset,feature,beta_sex,p_sex,q_sex,p_age,q_age,R2
metabolome,fid_23474,-8.39487553955493e-4,0.4514681695398909,0.46261553175075243,7.371020255238183e-12,1.099032361409765e-11,0.005431141836929054
metabolome,fid_23475,0.0018849439339180094,1.2115231869509463e-4,1.4096695025737647e-4,0.13497876209396834,0.1366248445585289,0.0019736143067647927
metabolome,fid_23476,4.276200899665439e-4,0.06684475223529773,0.0720534342276586,1.1526836599724507e-17,2.0648793621089224e-17,0.008393238157179184
metabolome,fid_23477,5.42374892649167e-4,7.187524762846844e-8,8.522350790232687e-8,1.4427222473440184e-12,2.177199027810064e-12,0.0085694591508865825
metabolome,fid_23460,0.017140646615716924,4.594158191131356e-30,6.975276765803095e-30,7.590704453964468e-8,9.64329290325078e-8,0.016210653354172933
metabolome,fid_23479,0.35965854046351875,2.6799595937727516e-8,3.192870520810599e-8,1.243277402006788e-35,9.986324938699685e-35,0.0187615443643937
metabolome,fid_23440,-0.18400757258768316,0,0,4.502595316097747e-15,7.626845127267613e-15,0.15996242802932759
metabolome,fid_23439,-0.028586055001353257,6.319508626164795e-13,8.111121896469248e-13,1.5873849748541813e-24,4.391765097096568e-24,0.016853216593945786
metabolome,fid_23441,0.054939986319290396,3.388110958061121e-62,6.3912093072516605e-62,4.279305712763118e-12,6.418958569144677e-12,0.031095177077712033
metabolome,fid_23433,-0.17567812943153283,0,0,0.002626380385592514,0.002831033402651671,0.1858611632728514
metabolome,fid_23432,-0.036482442292000816,2.0477666304104676e-101,5.66548767746896e-101,4.105484706950451e-22,8.88926688722315e-22,0.05441726769432553
metabolome,fid_23431,0.7947244713969294,2.330950131435708e-244,1.4882220069935676e-243,0.0013963999985087561,0.0015250157878450889,0.10512553470112362
metabolome,fid_23484,0.016184279762118732,1.369426103748801e-88,3.128322016820655e-88,3.347909566582942e-5,3.89546486952875e-5,0.0403828658007106
metabolome,fid_23526,-0.1123577315606161,7.569709874117746e-158,3.2497547563022736e-157,9.58459293190929e-26,3.0994332987602764e-25,0.08086120470018243
metabolome,fid_23561,-0.13958895848257025,0,0,0.02290869267990996,0.023571340815279257,0.18552865388567863
metabolome,fid_23533,-0.08722745746396818,9.218119395695421e-56,1.663269369223304e-55,2.7310315944671863e-27,1.09681752745537e-26,0.037580974421489
metabolome,fid_23498,0.0145233773387402,6.994832640758719e-57,1.2713235967510372e-56,5.021882554533538e-13,7.815304725492818e-13,0.029512745260922513
metabolome,fid_23568,-0.09007099843784734,0,0,3.8786782091517545e-7,4.853220472757723e-7,0.1484306519967833
metabolome,fid_23540,-0.005152981909900655,0.025682470901625624,0.028296173692499028,1.79713188607015e-23,4.387116074818308e-23,0.01139859049934755
metabolome,fid_23505,-0.013186866860503719,8.712128445496029e-24,1.2760705781932418e-23,2.2022432302588724e-22,4.940167246256389e-22,0.02089211228720611
metabolome,fid_23575,-0.011516935331164636,4.580581292193212e-23,6.592859778937051e-23,1.0278274605797473e-11,1.5233871290735542e-11,0.015457455208344406
metabolome,fid_23547,-0.0019987406986178655,0.022084020520044326,0.02443964937551572,5.476619845102561e-24,1.4204982723234768e-23,0.011673244397937155
metabolome,fid_23512,8.554602763785136e-5,0.9329877652286676,0.9329877652286676,3.1793722814470423e-22,7.068425875717084e-22,0.010122423107305933
metabolome,fid_23554,-0.026654999768728944,0,0,0.01908813986844663,0.019803945113513383,0.15792839828754657
metabolome,fid_23491,0.00929660633817601,5.329520325766884e-64,1.028721365206166e-63,2.498858766249336e-10,3.4955945662701384e-10,0.03145027246161358
metabolome,fid_23519,-0.02441744394402691,1.9581437377488577e-138,6.867292826753037e-138,1.2061981985255885e-28,5.66685568741267e-28,0.07338517610393236
metabolome,fid_23580,-2.735948387005321,2.4121053530642533e-34,3.7305231857950253e-34,0.0039221014123317025,0.0041914302646806605,0.01584411509613981
metabolome,fid_23610,-1.0854697640724948,1.2486794018539689e-79,2.6349251784884598e-79,9.422644088101564e-36,8.689771770138109e-35,0.05095307604560029
metabolome,fid_23635,-3.0553969045560185,1.049737832576343e-194,5.808549340255764e-194,8.838580258935326e-20,1.760645187579917e-19,0.09197550118105657
metabolome,fid_23615,-0.6322667948260918,7.792364836387002e-88,1.7324096823753243e-87,2.0479557822479695e-41,2.99965288105732e-40,0.05707952322708243
metabolome,fid_23590,-1.533630640717612,7.6466958932590425e-81,1.6273737413858988e-80,0.020497110935026375,0.02117751295776584,0.03660737941195347
metabolome,fid_23640,-1.478013801150531,5.030665785454761e-151,2.0203802912552189e-150,6.641526878141546e-13,1.0271678215262392e-12,0.07101194835685443
metabolome,fid_23620,-0.4321391798244596,3.0908523710309443e-43,5.130814935911367e-43,1.517490435157866e-14,2.4696412964333898e-14,0.025728690075986993
metabolome,fid_23595,-3.8643998437787235,3.990703497361133e-195,2.2583753882793687e-194,2.2849990084952728e-23,5.523929641896338e-23,0.09450765747959144
metabolome,fid_23645,-0.04147622618337743,0.24803953008218954,0.2595035419767445,2.937854717246599e-35,2.151546542924715e-34,0.01617228580002894
metabolome,fid_23625,-0.3018513137417882,3.4813330200464828e-15,4.6355717753560115e-15,6.941862398364269e-22,1.4773707155493187e-21,0.016473532688240256
metabolome,fid_23600,-1.6359258903791354,8.043353488760679e-73,1.641635261230663e-72,5.924581741233619e-26,2.0208504843385905e-25,0.043938782911046914
metabolome,fid_23630,2.8244087971975897,1.0247832542697179e-214,6.223683666174628e-214,1.611528086280986e-23,3.9729751830095596e-23,0.0997830165493031
metabolome,fid_23585,-3.708313936090291,1.7622282241089597e-135,6.010888052097685e-135,1.960862765945338e-10,2.75850185717734e-10,0.0634500289345773
metabolome,fid_23605,-2.5224711146733565,1.3566503143052856e-181,6.756118565240323e-181,8.644971916043541e-33,5.519482069473954e-32,0.09250784112188704
metabolome,fid_23485,0.008855490068501866,2.0771790211445076e-87,4.577146692610464e-87,2.0183292632902026e-4,2.2740451880509522e-4,0.03947579671913426
metabolome,fid_23418,-0.20554899880658373,0,0,0.00018503538440948344,2.1038269734228941e-4,0.1767075557453115
metabolome,fid_23527,-0.08375173002375763,3.0134837002763616e-159,1.3164165638049368e-158,6.577652420905112e-26,2.183780603740497e-25,0.0815547685193877
metabolome,fid_23417,-0.05845785918279123,2.3195386826195947e-20,3.263079841651294e-20,1.8639696900489146e-26,6.630406468888282e-26,0.02119493915031101
metabolome,fid_23562,-0.10758901147321098,0,0,0.05217515765648209,0.05324432072321328,0.18221580676003646
