dataset,feature,n,R2_all,partR2_sex,partR2_age,p_sex,p_age,beta_sex,q_sex,q_age
metabolome,fid_23474,10437,0.005529208354305926,2.1932473430408272e-5,0.005515973702764576,0.6324216575778198,1.8174859368854186e-12,-5.370804444941468e-4,0.6427469091301107,2.6465146098506972e-12
metabolome,fid_23475,10532,0.0016894285237538664,0.001102320092496445,6.097669208706691e-4,6.559911733806025e-4,0.09281929691826309,0.0016813146246833846,7.492743218888532e-4,0.09395123956360776
metabolome,fid_23476,10534,0.008328501591615689,3.8742209759734525e-4,0.007913931138372465,0.04339972235814399,5.029219116126995e-18,4.7109526390348645e-4,0.04781650826184891,8.881386949756184e-18
metabolome,fid_23477,10534,0.008382376573679795,0.002968160747761295,0.005396995276035543,2.2144996228623304e-8,2.593273747229524e-12,5.578449104103277e-4,2.6510115677534628e-8,3.711064155518113e-12
metabolome,fid_23460,10534,0.016030414544715654,0.012490142224841905,0.0035501256975871698,1.2666598685075116e-30,3.699837354098778e-8,0.016979995291108232,1.9349589402354014e-30,4.6528257634878574e-8
metabolome,fid_23479,10534,0.018713298236916698,0.0028241985615446996,0.01633183904975033,4.84797858914947e-8,2.3641559369597723e-37,0.3453900051632127,5.7758213813311876e-8,1.635207856397176e-36
metabolome,fid_23440,10536,0.160162574468101,0.15376569477114332,0.007194161642524954,0,2.1695413365017355e-16,-0.18367469874400472,0,3.625609347576726e-16
metabolome,fid_23439,10536,0.01736513947147944,0.004736494724348339,0.012067920809630595,1.5404749694576284e-12,1.5589744673014967e-27,-0.027562797029712788,1.967068037922818e-12,4.5137749111403795e-27
metabolome,fid_23441,10536,0.03194399929985081,0.027496792551512494,0.005782053434599921,8.126269983671246e-66,3.4715744435290914e-13,0.055407129266289164,1.532910019647076e-65,5.207361665293637e-13
metabolome,fid_23433,10536,0.18892040808335797,0.18791635524891026,0.0013310453002335354,0,0.002868306626217248,-0.17731495430780236,0,0.003078484266931443
metabolome,fid_23432,10536,0.055789007673105684,0.045445848938825195,0.010004455943547041,1.5885120833545302e-108,8.397521080473984e-23,-0.03705505600626306,4.4442641433177304e-108,1.7139202860967393e-22
metabolome,fid_23431,10536,0.10724891920999569,0.10584393498465672,0.0018229202785408072,3.5065984073341288e-258,2.467208384196407e-4,0.8048411644917218,2.297744745858416e-257,2.727133739159739e-4
metabolome,fid_23484,10536,0.04191125550526875,0.03963048647432843,0.002673168819521843,1.3179482308674975e-94,3.3130634394727178e-06,0.01642579726513748,3.0670010232337093e-94,3.9471425666445306e-6
metabolome,fid_23526,10536,0.08127114505694699,0.06775662628780987,0.012703877299416688,1.0745082083148878e-162,5.386342216875206e-29,-0.11198339870231405,4.534788879159443e-162,1.812431367570171e-28
metabolome,fid_23561,10536,0.18746052835911287,0.18586898670921193,0.0011116841931235744,0,0.008429098744782973,-0.14060435633755358,0,0.008708902852493611
metabolome,fid_23533,10536,0.03785985263495817,0.023381737875686426,0.013479571202208773,3.9875087112489012e-56,8.843226624298303e-31,-0.08582456902140068,7.143091144611341e-56,3.55155391846819e-30
metabolome,fid_23498,10536,0.03131069152988064,0.025744326787738192,0.006548271002540407,1.0994897463387822e-61,6.363730579176458e-15,0.014875006205315417,2.0430816928235578e-61,1.0028917178575557e-14
metabolome,fid_23568,10536,0.14850486936799967,0.1449689813120748,0.0034686454083728835,0,5.608824595650313e-8,-0.08991340420961108,0,6.98298662158464e-8
metabolome,fid_23540,10536,0.012257560686011248,3.403639010338688e-4,0.01172632425611364,0.05831000807951769,9.489902022268306e-27,-0.0042856230802291945,0.06368066671842063,2.4360676325204212e-26
metabolome,fid_23505,10536,0.021140618562410896,0.009446164251028843,0.01095772719693311,1.5663820943880873e-23,5.50244760650008e-25,-0.012857235319812364,2.2942890676625513e-23,1.268619864831963e-24
metabolome,fid_23575,10536,0.015121619680776077,0.008539514369942047,0.0060851771945331645,2.034646228280321e-21,7.144444954329042e-14,-0.010831688460924988,2.862298931309604e-21,1.084735849773129e-13
metabolome,fid_23547,10536,0.012506832955764047,3.7969706303120354e-4,0.011917023403538285,0.045522967249724294,3.462631051002394e-27,-0.0017109890416120647,0.04993488478053458,9.57994590777329e-27
metabolome,fid_23512,10536,0.01074776329099536,1.608599938440758e-5,0.010747718468493761,0.6806500694537356,1.667008778770412e-24,4.1119146503487653e-4,0.68895068005683,3.706117731373505e-24
metabolome,fid_23554,10536,0.16039927659132014,0.15852266103547608,0.0011625836665082323,0,0.006571372549596081,-0.026945496139377672,0,0.006846325375939014
metabolome,fid_23491,10536,0.033225814768603534,0.028881885923682904,0.005292859838477049,4.3652823297047575e-69,4.4347006199093734e-12,0.009496560870604078,8.491838282003786e-69,6.2740934906672386e-12
metabolome,fid_23519,10536,0.07348177787774235,0.05961982674023347,0.01362346440047879,8.545575519257494e-143,4.123943324246572e-31,-0.024366825745899896,2.95534486707655e-142,1.7404438775210112e-30
metabolome,fid_23580,10198,0.01721946580500089,0.015882755230247514,0.001496360610832581,2.280055725360386e-37,0.0016039572903477175,-2.894304488473823,3.5706533057530576e-37,0.0017364581099851375
metabolome,fid_23610,10536,0.05223897310871162,0.034561875840963374,0.017436181912416138,1.5375011653275155e-82,6.484233370209146e-40,-1.0851505909282342,3.24438805225891e-82,6.45829643672831e-39
metabolome,fid_23635,10536,0.09403074554571822,0.0848471164496174,0.009734479726029366,4.685542417009511e-205,3.48218125276259e-22,-3.0738721909067825,2.5926668040785962e-204,6.881453428078451e-22
metabolome,fid_23615,10536,0.058874189689324674,0.03848629245729285,0.020157975108943127,7.064767029123863e-92,3.1598403036303057e-46,-0.6354766762181977,1.5706490984391444e-91,4.917501472524663e-45
metabolome,fid_23590,10535,0.03596303076719565,0.03468930516567825,7.858844966913692e-4,7.795665079928739e-83,0.04058397336866979,-1.5347908882302503,1.6590774400873983e-82,0.04124656885223991
metabolome,fid_23640,10536,0.07172955365460643,0.06527335492701314,0.006515331737901975,1.3262323550164969e-156,7.559051021237761e-15,-1.4760816862345274,5.241775498398536e-156,1.1837759146466684e-14
metabolome,fid_23620,10536,0.026580358287758066,0.018488638484838393,0.007478073332389368,1.2021168982983749e-44,4.9036790403951834e-17,-0.4301361541742758,1.9955140511753022e-44,8.363123842865757e-17
metabolome,fid_23595,10536,0.09608388534464718,0.08503680218504606,0.010905188814423594,1.5712363736128473e-205,7.2610830216107615e-25,-3.8941577034640646,8.891769477945432e-205,1.6587244700743847e-24
metabolome,fid_23645,10536,0.016552475554110657,9.395953767499243e-5,0.01640550789073869,0.31986769078484734,1.5713175975494044e-37,-0.03493572151886024,0.3360635232296498,1.1178802336851476e-36
metabolome,fid_23625,10536,0.01682825195400861,0.005727926020620888,0.010654057669148176,7.390299677197207e-15,2.732551005853319e-24,-0.2921302525712303,9.736426558847114e-15,6.021284959800677e-24
metabolome,fid_23600,10536,0.04440038831822568,0.031735643966362304,0.012070295592592095,7.758693969414967e-76,1.5395157232727952e-27,-1.6385875270895018,1.570662437710835e-75,4.509875471705011e-27
metabolome,fid_23630,10532,0.10187016638640645,0.09427765007721833,0.010418331149370075,1.113796635780246e-228,9.673976069408711e-24,2.85945107357894,6.933384057732031e-228,2.0765690011058352e-23
metabolome,fid_23585,10444,0.06498223702438077,0.06003788333898763,0.0048757872978264505,1.4197552426371825e-142,4.83180104363765e-11,-3.775296951448553,4.842726786529567e-142,6.57441781347418e-11
metabolome,fid_23605,10536,0.09430542994012392,0.07886848411405822,0.015917403692567,3.778914447684149e-190,2.11009640600111e-36,-2.5400309323938353,1.8818993949467063e-189,1.281497573400674e-35
metabolome,fid_23485,10536,0.04099381524341539,0.03914027209104887,0.0022765113485904154,1.947875593577017e-93,2.4951051233514466e-5,0.00899262888709186,4.409282025460702e-93,2.8499136500665605e-5
metabolome,fid_23418,10536,0.17735071654861911,0.1744888257893572,0.0022384940593964675,0,3.02580030377235e-5,-0.20584092429631412,0,3.440293496069932e-5
metabolome,fid_23527,10536,0.08194652662187862,0.0683498229923678,0.012754576741072388,3.747635231738839e-164,4.118252938168966e-29,-0.08348032429003037,1.6088985736258122e-163,1.4442887064846093e-28
metabolome,fid_23417,10536,0.021690244603138065,0.007845738507474054,0.013126502367880044,8.43529989801432e-20,5.7438523968803655e-30,-0.05644735419646267,1.1604362843124671e-19,2.103263598269428e-29
metabolome,fid_23562,10536,0.18412601348105295,0.18263515895289406,9.552232076818212e-4,0,0.018023754562266008,-0.10835620035869216,0,0.018468785539112083
metabolome,fid_23534,10536,0.03367928362958761,0.019108897270042724,0.013624123391246301,4.2391926951039604e-46,4.1095594618646725e-31,-0.05687068681260173,7.180673340686301e-46,1.7404438775210112e-30
metabolome,fid_23499,10536,0.019133357433459786,0.012477303421372543,0.00739851984713602,1.3400206504853242e-30,7.439456331327485e-17,0.005126044445930325,2.034543548602718e-30,1.260152807143227e-16
metabolome,fid_23569,10536,0.141933408401684,0.13895655594457013,0.002741810141029588,0,2.3334092995950643e-6,-0.07068098601839144,0,2.7933601711498607e-6
metabolome,fid_23541,10536,0.011242769505462102,7.600859491252443e-6,0.011239569130177096,0.7772416463628207,1.2423248397460737e-25,4.761276941665105e-4,0.7835351009892403,2.9460846199692605e-25
metabolome,fid_23506,10536,0.03316756496516926,0.021300088307404486,0.010880542088770206,3.0890924227713755e-51,8.26990852267279e-25,-0.011231566990600256,5.341555647708837e-51,1.8720065655868405e-24
metabolome,fid_23576,10536,0.007518926927110869,0.002780429491639147,0.004431305798507923,6.13561657241029e-8,3.886207146106559e-10,-0.004791687477960868,7.240609130474703e-8,5.147157337130495e-10
metabolome,fid_23548,10536,0.011355125781590703,6.40033713805721e-7,0.011324547450870526,0.9345697735218397,7.930488889166723e-26,-5.251177306335416e-5,0.9345697735218397,1.9171764401966155e-25
metabolome,fid_23513,10536,0.010974253845994153,7.076620867939587e-4,0.010447670433109124,0.006327194948767448,8.116884820929709e-24,0.0017493746345500164,0.007064894808264997,1.757482017749128e-23
metabolome,fid_23416,10536,0.011628653591608806,0.0012436010266786424,0.010122832753559852,2.9468316845458113e-4,4.499923431637109e-23,-0.01015032494541718,3.397042080795866e-4,9.41580617208101e-23
metabolome,fid_23555,10536,0.16750847340735364,0.1655922751711535,0.0011889210908033743,0,0.005775375288937882,-0.022012506752697836,0,0.00606779935420056
metabolome,fid_23492,10536,0.025705978956095388,0.02096320022999798,0.005675054715449601,1.9066961515648884e-50,6.063043995126062e-13,0.0041808045131013025,3.2518311078058713e-50,9.040107513690955e-13
metabolome,fid_23520,10536,0.08359400332964206,0.07084768591522361,0.01240285478047043,2.6707466187072275e-170,2.650247804647867e-28,-0.018967665706806875,1.2091198328329084e-169,8.57028186178336e-28
metabolome,fid_23581,10198,0.011657081893505672,0.009036406448889145,0.0027169566940624668,6.657233496301662e-22,4.132239389763311e-6,-1.5678709315441803,9.47229223188065e-22,4.89965527643364e-6
metabolome,fid_23611,10536,0.05615707439187634,0.034203496812948764,0.021893168973605937,1.0908894238359625e-81,2.9121325056654853e-50,-0.887108973770233,2.282617365841636e-81,7.251209939107059e-49
metabolome,fid_23636,10536,0.0754544834866352,0.06434573577926117,0.011780329573430226,2.477323218145629e-154,7.133075591957574e-27,-2.300999471870382,9.490053558742487e-154,1.8696166551551957e-26
metabolome,fid_23616,10536,0.007104069450098338,3.7435182694500746e-5,0.007010610803714679,0.5300902352344168,5.670777249624089e-16,-0.013837848592799015,0.5409527400547942,9.228911994486261e-16
metabolome,fid_23591,10535,0.07311337995241662,0.07095328497605535,0.001422652550524317,1.5219579827561513e-170,0.0018235761473757728,-1.7820974093703608,7.017917364931141e-170,0.0019656729900284302
metabolome,fid_23641,10536,0.03990676241136881,0.029817678141229154,0.010327238505330683,2.6821146057047796e-71,1.5318221759876647e-23,-0.8621401912182953,5.258634148192836e-71,3.2600318104352863e-23
metabolome,fid_23621,10536,0.011337102969060098,0.007550801922183936,0.003966259669115346,4.1106827738365057e-19,4.309384606268694e-9,0.3231718341537571,5.623956102666429e-19,5.588733161254713e-9
metabolome,fid_23596,10536,0.0986327318882485,0.08614131849669182,0.012723795220462963,2.6992808712186966e-208,4.84724264267329e-29,-2.93772328132933,1.563071946356873e-207,1.6533745452406153e-28
metabolome,fid_23646,10536,0.02517816464291822,0.005609125379221425,0.020058477548812625,1.4005268850172953e-14,5.380201636172526e-46,0.26754245120330716,1.835427338785824e-14,7.880412984746818e-45
metabolome,fid_23626,10536,0.004961043994193726,0.0027805268147887974,0.0023412468329996328,6.132363385329601e-8,1.7961858319533086e-5,0.21908133889279063,7.240609130474703e-8,2.080233823983134e-5
metabolome,fid_23601,10536,0.018115607981979975,0.0109819226479404,0.006628588763209042,4.1170900153607604e-27,4.1821424743240504e-15,-0.5658916186361974,6.066008365827392e-27,6.675342795555696e-15
metabolome,fid_23631,10532,0.014492171938177867,6.889200928547057e-4,0.013637447457134022,0.007072684794253065,3.935137157070796e-31,-0.16109848492302412,0.007862046936468808,1.7190336001940844e-30
metabolome,fid_23586,10444,0.061180910114371434,0.05569190953907033,0.005469233133535201,4.2171011374599096e-132,2.26962645290564e-12,-3.0044079131860877,1.3291875737057183e-131,3.2666877848179444e-12
metabolome,fid_23606,10536,0.10325953714491953,0.08687037841705936,0.017239418425519015,4.021092689269461e-210,1.8506061718255012e-39,-2.4101560725617626,2.3839335229240376e-209,1.645717631373392e-38
metabolome,fid_23473,10533,0.04412217883843306,0.01894486564086717,0.026484669350446466,1.0569086582985524e-45,5.7892534557138686e-61,-0.0035604690183754736,1.7662433282975807e-45,2.0593201578182187e-59
metabolome,fid_23404,10536,0.02842377803355789,0.014624273806599697,0.012886296909183304,1.3062147803184416e-35,2.0501476098224778e-29,-0.17639813054323003,2.0327967518705746e-35,7.292667926368528e-29
metabolome,fid_23481,10536,0.045642971914273245,0.04289384553313125,0.003104527199275342,2.084661491957219e-102,3.6431662570349766e-7,6.040033268273179e-7,5.243239510074217e-102,4.468711320205464e-7
metabolome,fid_23430,10536,0.12116111734293966,0.11364008488306887,0.007485935934950616,3.188803523103154e-278,4.705752507086946e-17,-0.0015754647463939555,2.4060972037960163e-277,8.080912925963101e-17
