dataset,feature,n,R2_all,partR2_sex,partR2_age,p_sex,p_age,beta_sex,q_sex,q_age
metabolome,fid_23444,10527,0.06376336618422584,0.02396883365815916,0.041679271586959166,1.8528611774769394e-57,8.967600117832638e-97,-0.06722599707928659,3.3676090013996927e-57,2.232932429340327e-94
metabolome,fid_23456,10527,0.05366003290686705,0.017574714233159594,0.03656099684490499,1.794719549698737e-42,1.24409916407623e-84,-0.892465589339135,2.92081809068618e-42,1.5489034592749063e-82
metabolome,fid_23451,10527,0.0497539084409262,0.017545654482078676,0.03367826704976329,2.0986273192749617e-42,8.005450720357936e-78,-0.40413783674130493,3.3932350811653603e-42,6.644524097897087e-76
metabolome,fid_23459,10527,0.037473803674275996,0.005786277133937867,0.03219496957589474,5.544225339835558e-15,2.5012697497720208e-74,0.6801238887511525,7.343149519250287e-15,1.5570404192330828e-72
metabolome,fid_23452,10527,0.04870016513935005,0.01747962555578153,0.03197237747342074,2.994325057774365e-42,8.358042077852875e-74,-0.9273272593363411,4.810238318618173e-42,4.1623049547707314e-72
metabolome,fid_23450,10527,0.07835279554454444,0.05112389186065314,0.030012718322833698,4.315654835454065e-122,3.381710161661725e-69,-0.03740404218637458,1.3266642642321755e-121,1.4034097170896158e-67
metabolome,fid_23473,10533,0.04412217883843306,0.01894486564086717,0.026484669350446466,1.0569086582985524e-45,5.7892534557138686e-61,-0.0035604690183754736,1.7662433282975807e-45,2.0593201578182187e-59
metabolome,fid_23618,10536,0.04769926510673761,0.023727472491729573,0.023900108330938807,6.135491941718625e-57,6.111250638342644e-55,0.502968943595284,1.107056154701404e-56,1.902126761184148e-53
metabolome,fid_23529,10536,0.024026175429794794,0.0016591135776802268,0.02234600372988882,2.8946084047490153e-5,2.5684019733333645e-51,-0.0020199968698619316,3.399799494257098e-5,7.105912126222308e-50
metabolome,fid_23611,10536,0.05615707439187634,0.034203496812948764,0.021893168973605937,1.0908894238359625e-81,2.9121325056654853e-50,-0.887108973770233,2.282617365841636e-81,7.251209939107059e-49
metabolome,fid_23613,10536,0.06399675014186224,0.043292549418197934,0.020972743078135125,2.3132821586619173e-103,4.035300294484833e-48,0.9870947122442781,5.938219149554819e-103,9.014486235082305e-47
metabolome,fid_23536,10536,0.0210195863254915,4.017471756834201e-5,0.020958962282173754,0.5154099484656297,4.3443307157023156e-48,-3.0655747500568485e-4,0.5281361200326824,9.014486235082305e-47
metabolome,fid_23564,10536,0.07488719438848057,0.05640937424039394,0.020895454096727994,5.463502768308203e-135,6.103839368349066e-48,-0.0055363062595008075,1.7900160385641348e-134,1.1691200020914749e-46
metabolome,fid_23623,10536,0.03307821153343993,0.0123252081965739,0.020403054672765486,3.0332679705984835e-30,8.515717374442151e-47,0.32489774281925066,4.549901955897725e-30,1.514581161597211e-45
metabolome,fid_23522,10536,0.021346586040317805,0.0010495590769634688,0.02037331011156973,8.829648615762897e-4,9.984865010321175e-47,0.00130927245069421,0.0010039189522031788,1.6574875917133152e-45
metabolome,fid_23615,10536,0.058874189689324674,0.03848629245729285,0.020157975108943127,7.064767029123863e-92,3.1598403036303057e-46,-0.6354766762181977,1.5706490984391444e-91,4.917501472524663e-45
metabolome,fid_23646,10536,0.02517816464291822,0.005609125379221425,0.020058477548812625,1.4005268850172953e-14,5.380201636172526e-46,0.26754245120330716,1.835427338785824e-14,7.880412984746818e-45
metabolome,fid_23410,10536,0.018413854266748242,9.661046768227877e-5,0.018325033578831085,0.31313518093180703,5.6614835410535014e-42,-8.798523551713459e-4,0.3303841527627964,7.831718898457344e-41
metabolome,fid_23434,10527,0.12234920561219287,0.10581808290707617,0.018290643097237158,6.758072157952052e-258,7.388045902582089e-42,-0.2510873358737948,4.314769147000157e-257,9.682228577594421e-41
metabolome,fid_23409,10536,0.019294570033432934,0.0012856852695244392,0.01815836657762493,2.3258621162338837e-4,1.3777759622745648e-41,0.002776406073679925,2.706260125898304e-4,1.7153310730318332e-40
proteome,ELN,9919,0.45085284203046183,0.056555883496774206,0.4327418504405992,1.5665520743715934e-127,0,-0.17772984959169602,2.662227740341958e-126,0
proteome,EDA2R,10438,0.35222038965164393,2.5604736179407617e-5,0.35210391256973606,0.6052670139547449,0,0.004259869099780851,0.655743321641853,0
proteome,LTBP2,10431,0.2838661560350364,0.01661730178135845,0.2760026598876457,6.9643529170215354e-40,0,-0.09194587063815451,3.8264668376793136e-39,0
proteome,NEFL,10091,0.24303557042203505,5.630940980940746e-4,0.24241085748262758,0.01715266907348687,0,0.023108111508312663,0.025937533213555162,0
proteome,GDF15,10431,0.2563990575535968,0.022422157681883492,0.24189697423246748,2.3698399000418494e-53,0,0.15271941790709398,1.5997787593123155e-52,0
proteome,SCARF2,10430,0.2491253648496794,0.017300733732256712,0.24008647816125883,1.8368263545680934e-41,0,-0.08379608557565706,1.0405122934888638e-40,0
proteome,FSHB,9666,0.6188837433494131,0.5669262299600867,0.23170263085962417,0,0,-1.491917382756921,0,0
proteome,LECT2,9919,0.23010687402226027,0.017756076616195937,0.2201276390302479,1.6145922569762652e-40,0,-0.18670443961654432,8.955319102735528e-40,0
proteome,WNT9A,10167,0.21327711366500446,1.1439939253632403e-4,0.21307542965906012,0.280940231686622,0,0.0066454160208957265,0.3354527357924821,0
proteome,CHRDL1,10343,0.2258974957645976,0.02843921784839909,0.2097312148263224,7.918343439292958e-67,0,-0.11881010084206774,6.747906085438284e-66,0
proteome,CDCP1,10264,0.20550762783117715,0.008329000862583702,0.1991945966989499,1.9899817008317182e-20,0,0.10742680778788455,7.067699284970976e-20,0
proteome,CXCL17,10432,0.18965607347797164,4.3419328488125686e-4,0.18927267925141156,0.033342628286369226,0,0.023292559147879303,0.04789213881133034,0
proteome,ACTA2,10146,0.18695599419688358,8.236513947279533e-4,0.18608656171727467,0.0038448385931645324,0,0.026528432336553425,0.006335097636877073,0
proteome,HAVCR1,10420,0.18640304305821864,5.347329880255325e-4,0.18585418662233066,0.018265896745272875,0,0.03253108323194818,0.027478752540624096,0
proteome,CCDC80,10283,0.18662532127669307,0.002003711295165078,0.18465720715075218,5.618956373058925e-6,0,0.035613378795957,1.1664921504581845e-5,0
proteome,YAP1,9903,0.1780787830193813,0.0038222453231784304,0.17582675339089382,7.43448173803582e-10,0,-0.03575376315470897,1.8573495829298036e-9,0
proteome,SCRG1,9919,0.22463992010341405,0.07291221806538428,0.1728244326133318,3.089870661202414e-165,0,0.1564488735369012,7.403026182536604e-164,0
proteome,EFEMP1,10331,0.1799391315374287,0.02503361770161272,0.16395908467387743,7.040380520246128e-59,0,-0.11190281886402993,5.263179606311875e-58,0
proteome,WFDC2,9864,0.17003466873886164,0.008825453374396441,0.16281696072470075,8.90124008344902e-21,0,0.08261419459358946,3.1924324863707345e-20,0
proteome,HSPB6,10438,0.2307472211847743,0.09261101885663525,0.16195147850774871,1.7329477707249102e-222,0,0.2786694048228058,6.411906751682168e-221,0
