protein,metabolite,metabolite_label,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r
LDLR,fid_23578,Triglycerides in Small HDL,10338,0.7058326233989214,0,0,0.7135536618266779,0,0,+,0.7058326233989214
LDLR,fid_23497,Phospholipids in Large VLDL,10338,0.6930284449519288,0,0,0.7078411390721652,0,0,+,0.6930284449519288
LDLR,fid_23500,Free Cholesterol in Large VLDL,10338,0.6903289290522177,0,0,0.7049733190347225,0,0,+,0.6903289290522177
LDLR,fid_23491,Cholesterol in Very Large VLDL,10338,0.6822661711759647,0,0,0.6926594899567362,0,0,+,0.6822661711759647
LDLR,fid_23493,Free Cholesterol in Very Large VLDL,10338,0.6822569192800545,0,0,0.6952614107398777,0,0,+,0.6822569192800545
LDLR,fid_23488,Concentration of Very Large VLDL Particles,10338,0.6812383382479927,0,0,0.7007844085971255,0,0,+,0.6812383382479927
LDLR,fid_23515,Triglycerides in Small VLDL,10338,0.6800342010601482,0,0,0.6870991470611936,0,0,+,0.6800342010601482
LDLR,fid_23495,Concentration of Large VLDL Particles,10338,0.6800175459700328,0,0,0.6973764486805641,0,0,+,0.6800175459700328
LDLR,fid_23490,Phospholipids in Very Large VLDL,10338,0.6798017745910009,0,0,0.6957185202929466,0,0,+,0.6798017745910009
LDLR,fid_23498,Cholesterol in Large VLDL,10338,0.6782400451148374,0,0,0.6895432949431807,0,0,+,0.6782400451148374
LDLR,fid_23485,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,10338,0.675521164242017,0,0,0.6855999050644631,0,0,+,0.675521164242017
LDLR,fid_23424,Total Lipids in VLDL,10338,0.6743981507398068,0,0,0.6859436003447231,0,0,+,0.6743981507398068
LDLR,fid_23407,Total Triglycerides,10338,0.673612286773608,0,0,0.6925328225681606,0,0,+,0.673612286773608
LDLR,fid_23489,Total Lipids in Very Large VLDL,10338,0.6723770597238578,0,0,0.6923412149402414,0,0,+,0.6723770597238578
LDLR,fid_23484,Cholesterol in Chylomicrons and Extremely Large VLDL,10338,0.6654400198278645,0,0,0.6767424356380465,0,0,+,0.6654400198278645
LDLR,fid_23496,Total Lipids in Large VLDL,10338,0.6647765050920977,0,0,0.6838671067272116,0,0,+,0.6647765050920977
LDLR,fid_23412,Phospholipids in VLDL,10338,0.6644872505844606,0,0,0.6719719391575556,0,0,+,0.6644872505844606
LDLR,fid_23522,Triglycerides in Very Small VLDL,10338,0.6621519689994276,0,0,0.6651798578395789,0,0,+,0.6621519689994276
LDLR,fid_23492,Cholesteryl Esters in Very Large VLDL,10338,0.6618642812497672,0,0,0.6709800138511433,0,0,+,0.6618642812497672
LDLR,fid_23550,Triglycerides in Small LDL,10338,0.6616890137097325,0,0,0.6782928753495825,0,0,+,0.6616890137097325
LDLR,fid_23509,Concentration of Small VLDL Particles,10338,0.660260103866829,0,0,0.6694092409501771,0,0,+,0.660260103866829
LDLR,fid_23408,Triglycerides in VLDL,10338,0.6601004799197199,0,0,0.6804308956760744,0,0,+,0.6601004799197199
LDLR,fid_23508,Triglycerides in Medium VLDL,10338,0.6571778839017675,0,0,0.6750329967826592,0,0,+,0.6571778839017675
LDLR,fid_23510,Total Lipids in Small VLDL,10338,0.6553732784399846,0,0,0.6623705000613568,0,0,+,0.6553732784399846
LDLR,fid_23648,Triglycerides to Total Lipids in Small HDL percentage,10338,0.6553203508237844,0,0,0.6553933926766248,0,0,+,0.6553203508237844
LDLR,fid_23643,Triglycerides to Total Lipids in Medium HDL percentage,10338,0.6528692046756133,0,0,0.6529661448724774,0,0,+,0.6528692046756133
LDLR,fid_23499,Cholesteryl Esters in Large VLDL,10338,0.6481638166784595,0,0,0.6570291063304865,0,0,+,0.6481638166784595
LDLR,fid_23494,Triglycerides in Very Large VLDL,10338,0.647431370707734,0,0,0.6728351151280132,0,0,+,0.647431370707734
LDLR,fid_23486,Free Cholesterol in Chylomicrons and Extremely Large VLDL,10338,0.644912311196483,0,0,0.6566694845511553,0,0,+,0.644912311196483
LDLR,fid_23543,Triglycerides in Medium LDL,10338,0.6447803920504391,0,0,0.6533003769742262,0,0,+,0.6447803920504391
LDLR,fid_23435,Triglycerides to Phosphoglycerides ratio,10329,0.6423989663427072,0,0,0.6537656259954481,0,0,+,0.6423989663427072
LDLR,fid_23483,Phospholipids in Chylomicrons and Extremely Large VLDL,10338,0.6348967286500845,0,0,0.6496750224036852,0,0,+,0.6348967286500845
LDLR,fid_23420,Free Cholesterol in VLDL,10338,0.6345046602307449,0,0,0.6405287939380458,0,0,+,0.6345046602307449
LDLR,fid_23409,Triglycerides in LDL,10338,0.6314682723683676,0,0,0.635601795868213,0,0,+,0.6314682723683676
LDLR,fid_23447,Monounsaturated Fatty Acids,10329,0.6280707953908699,0,0,0.6436522626228338,0,0,+,0.6280707953908699
LDLR,fid_23622,Free Cholesterol to Total Lipids in Medium LDL percentage,10338,-0.6280678520117713,0,0,-0.6328316243817286,0,0,-,0.6280678520117713
LDLR,fid_23481,Concentration of Chylomicrons and Extremely Large VLDL Particles,10338,0.6279148738599021,0,0,0.6468533012485528,0,0,+,0.6279148738599021
LDLR,fid_23501,Triglycerides in Large VLDL,10338,0.6230644338209397,0,0,0.6483021857454376,0,0,+,0.6230644338209397
LDLR,fid_23428,Concentration of VLDL Particles,10338,0.6229916864288783,0,0,0.6278498014071022,0,0,+,0.6229916864288783
LDLR,fid_23641,Cholesteryl Esters to Total Lipids in Medium HDL percentage,10338,-0.6183163450563686,0,0,-0.6190708204821967,0,0,-,0.6183163450563686
LDLR,fid_23640,Cholesterol to Total Lipids in Medium HDL percentage,10338,-0.6156635579600669,0,0,-0.6169000288132445,0,0,-,0.6156635579600669
PLA2G7,fid_23439,Apolipoprotein B,10349,0.6156322531175459,0,0,0.6353356170316323,0,0,+,0.6156322531175459
LDLR,fid_23529,Triglycerides in IDL,10338,0.6123612246734459,0,0,0.61230385628833806,0,0,+,0.6123612246734459
PLA2G7,fid_23546,Phospholipids in Small LDL,10349,0.6120156514421604,0,0,0.6297763741284207,0,0,+,0.6120156514421604
PLA2G7,fid_23544,Concentration of Small LDL Particles,10349,0.6107395211031316,0,0,0.6283704580078286,0,0,+,0.6107395211031316
PLA2G7,fid_23429,Concentration of LDL Particles,10349,0.6100811395189298,0,0,0.6288850666477027,0,0,+,0.6100811395189298
LDLR,fid_23482,Total Lipids in Chylomicrons and Extremely Large VLDL,10338,0.6097855789550412,0,0,0.627663923726074,0,0,+,0.6097855789550412
PLA2G7,fid_23545,Total Lipids in Small LDL,10349,0.6089065047646754,0,0,0.6260335546636309,0,0,+,0.6089065047646754
LDLR,fid_23536,Triglycerides in Large LDL,10338,0.6054511188816368,0,0,0.6054882558065083,0,0,+,0.6054511188816368
LDLR,fid_23431,Average Diameter for VLDL Particles,10338,0.6038223286190683,0,0,0.613800502172456,0,0,+,0.6038223286190683
PLA2G7,fid_23547,Cholesterol in Small LDL,10349,0.6032218322459674,0,0,0.6193128952579503,0,0,+,0.6032218322459674
PLA2G7,fid_23530,Concentration of Large LDL Particles,10349,0.6002259242301863,0,0,0.6199325501843054,0,0,+,0.6002259242301863
PLA2G7,fid_23523,Concentration of IDL Particles,10349,0.5999469256510932,0,0,0.6206774616890487,0,0,+,0.5999469256510932
PLA2G7,fid_23402,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",10349,0.5992829473765474,0,0,0.6171868938043032,0,0,+,0.5992829473765474
PLA2G7,fid_23505,Cholesterol in Medium VLDL,10349,0.5989120410136498,0,0,0.6187367924712297,0,0,+,0.5989120410136498
LDLR,fid_23503,Total Lipids in Medium VLDL,10338,0.5980995136269108,0,0,0.6061330280723746,0,0,+,0.5980995136269108
PLA2G7,fid_23401,Total Cholesterol Minus HDL-C,10349,0.5967626075213016,0,0,0.6131069279862766,0,0,+,0.5967626075213016
PLA2G7,fid_23548,Cholesteryl Esters in Small LDL,10349,0.5950782694319726,0,0,0.6118266788936363,0,0,+,0.5950782694319726
PLA2G7,fid_23413,Phospholipids in LDL,10349,0.5900510622134303,0,0,0.6055505657968303,0,0,+,0.5900510622134303
LDLR,fid_23410,Triglycerides in HDL,10338,0.5890501497452799,0,0,0.5846960069734599,0,0,+,0.5890501497452799
LDLR,fid_23638,Triglycerides to Total Lipids in Large HDL percentage,10338,0.5887708577030594,0,0,0.6377564499748872,0,0,+,0.5887708577030594
PLA2G7,fid_23506,Cholesteryl Esters in Medium VLDL,10349,0.5867287946938742,0,0,0.6048760394789896,0,0,+,0.5867287946938742
PLA2G7,fid_23441,Apolipoprotein B to Apolipoprotein A1 ratio,10349,0.5862415883891277,0,0,0.6096452938064062,0,0,+,0.5862415883891277
PLA2G7,fid_23404,Clinical LDL Cholesterol,10349,0.5844980718010683,0,0,0.5992666091814134,0,0,+,0.5844980718010683
PLA2G7,fid_23514,Free Cholesterol in Small VLDL,10349,0.5822181686745502,0,0,0.6025576970028711,0,0,+,0.5822181686745502
PLA2G7,fid_23425,Total Lipids in LDL,10349,0.5806747651319101,0,0,0.59529337527588,0,0,+,0.5806747651319101
LDLR,fid_23571,Triglycerides in Medium HDL,10338,0.5805890586700841,0,0,0.5759620442589874,0,0,+,0.5805890586700841
PLA2G7,fid_23507,Free Cholesterol in Medium VLDL,10349,0.580313028801111,0,0,0.6002024170846908,0,0,+,0.580313028801111
PLA2G7,fid_23539,Phospholipids in Medium LDL,10349,0.5788350597110946,0,0,0.5950991907077999,0,0,+,0.5788350597110946
LDLR,fid_23403,VLDL Cholesterol,10338,0.5784137011749514,0,0,0.5801818738473243,0,0,+,0.5784137011749514
PLA2G7,fid_23537,Concentration of Medium LDL Particles,10349,0.5783581607656293,0,0,0.5926959351014827,0,0,+,0.5783581607656293
PLA2G7,fid_23416,Cholesteryl Esters in VLDL,10349,0.5782720070684907,0,0,0.5980679717032017,0,0,+,0.5782720070684907
SERPIND1,fid_23480,Glycoprotein Acetyls,9892,0.5771602725995517,0,0,0.5999826183052123,0,0,+,0.5771602725995517
LDLR,fid_23487,Triglycerides in Chylomicrons and Extremely Large VLDL,10338,0.5769491658436766,0,0,0.5963009074401581,0,0,+,0.5769491658436766
PLA2G7,fid_23538,Total Lipids in Medium LDL,10349,0.5751067738044258,0,0,0.5893042760376139,0,0,+,0.5751067738044258
PLA2G7,fid_23405,LDL Cholesterol,10349,0.5749231660202266,0,0,0.5885907064287005,0,0,+,0.5749231660202266
PLA2G7,fid_23532,Phospholipids in Large LDL,10349,0.5746219835977062,0,0,0.5885151581063205,0,0,+,0.5746219835977062
LDLR,fid_23626,Cholesteryl Esters to Total Lipids in Small LDL percentage,10338,0.5745542293299377,0,0,0.5692557080694817,0,0,+,0.5745542293299377
PLTP,fid_23562,Cholesteryl Esters in Large HDL,10412,0.5744743173747271,0,0,0.6029035858710726,0,0,+,0.5744743173747271
LDLR,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,10329,-0.5744536836533061,0,0,-0.5823933588809103,0,0,-,0.5744536836533061
PLTP,fid_23433,Average Diameter for HDL Particles,10412,0.5741106706437866,0,0,0.5877805308722793,0,0,+,0.5741106706437866
PLA2G7,fid_23540,Cholesterol in Medium LDL,10349,0.5739687847879281,0,0,0.5870308509223504,0,0,+,0.5739687847879281
PLA2G7,fid_23417,Cholesteryl Esters in LDL,10349,0.5734854615975455,0,0,0.5872158031185036,0,0,+,0.5734854615975455
LDLR,fid_23513,Cholesteryl Esters in Small VLDL,10338,0.5728956381073075,0,0,0.5746918308667167,0,0,+,0.5728956381073075
PLTP,fid_23558,Concentration of Large HDL Particles,10412,0.5721100961256267,0,0,0.601596854267117,0,0,+,0.5721100961256267
PLTP,fid_23561,Cholesterol in Large HDL,10412,0.5715274564904054,0,0,0.6002502690184935,0,0,+,0.5715274564904054
LDLR,fid_23442,Total Fatty Acids,10329,0.5705967539652,0,0,0.5731073470557164,0,0,+,0.5705967539652
LDLR,fid_23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,10329,0.5690460178724438,0,0,0.5782262663224961,0,0,+,0.5690460178724438
LDLR,fid_23511,Phospholipids in Small VLDL,10338,0.5674406442201436,0,0,0.5700108933854118,0,0,+,0.5674406442201436
PLA2G7,fid_23531,Total Lipids in Large LDL,10349,0.5671498722222876,0,0,0.5808833360178365,0,0,+,0.5671498722222876
CFI,fid_23480,Glycoprotein Acetyls,9911,0.5667647095912638,0,0,0.5797916103414237,0,0,+,0.5667647095912638
PLA2G7,fid_23512,Cholesterol in Small VLDL,10349,0.5662874491265237,0,0,0.586657416728542,0,0,+,0.5662874491265237
PLA2G7,fid_23541,Cholesteryl Esters in Medium LDL,10349,0.5657494679480053,0,0,0.5783575567816859,0,0,+,0.5657494679480053
LDLR,fid_23627,Free Cholesterol to Total Lipids in Small LDL percentage,10338,-0.5656633381135743,0,0,-0.5622946992894106,0,0,-,0.5656633381135743
PLTP,fid_23559,Total Lipids in Large HDL,10412,0.5655681323929423,0,0,0.5931740900364507,0,0,+,0.5655681323929423
PLA2G7,fid_23549,Free Cholesterol in Small LDL,10349,0.5636915973615407,0,0,0.5785134884413571,0,0,+,0.5636915973615407
PLA2G7,fid_23525,Phospholipids in IDL,10349,0.5634997623787193,0,0,0.575927493170457,0,0,+,0.5634997623787193
PLA2G7,fid_23504,Phospholipids in Medium VLDL,10349,0.562729225387157,0,0,0.5803507524505563,0,0,+,0.562729225387157
APCS,fid_23480,Glycoprotein Acetyls,9838,0.561169792558906,0,0,0.5786977208371064,0,0,+,0.561169792558906
LDLR,fid_23448,Saturated Fatty Acids,10329,0.5605343144683822,0,0,0.5605227386861074,0,0,+,0.5605343144683822
PLA2G7,fid_23533,Cholesterol in Large LDL,10349,0.5593788150027338,0,0,0.5723115813677119,0,0,+,0.5593788150027338
PLA2G7,fid_23542,Free Cholesterol in Medium LDL,10349,0.5591953908952408,0,0,0.5729122356297279,0,0,+,0.5591953908952408
PLA2G7,fid_23421,Free Cholesterol in LDL,10349,0.5588704447114129,0,0,0.5715749485216306,0,0,+,0.5588704447114129
LDLR,fid_23452,Omega-6 Fatty Acids to Total Fatty Acids percentage,10329,-0.5586652003238919,0,0,-0.563379971360819,0,0,-,0.5586652003238919
PLA2G7,fid_23534,Cholesteryl Esters in Large LDL,10349,0.5577711480820309,0,0,0.5708527563106341,0,0,+,0.5577711480820309
PLA2G7,fid_23524,Total Lipids in IDL,10349,0.5567289412751094,0,0,0.5685143515999327,0,0,+,0.5567289412751094
PLA2G7,fid_23403,VLDL Cholesterol,10349,0.5556281511124999,0,0,0.5730873090372914,0,0,+,0.5556281511124999
PLTP,fid_23563,Free Cholesterol in Large HDL,10412,0.5551943193988439,0,0,0.5818828495809155,0,0,+,0.5551943193988439
LDLR,fid_23502,Concentration of Medium VLDL Particles,10338,0.5550822702775838,0,0,0.5595033162010411,0,0,+,0.5550822702775838
PLTP,fid_23560,Phospholipids in Large HDL,10412,0.5543951801793076,0,0,0.5781895183315496,0,0,+,0.5543951801793076
PLA2G7,fid_23502,Concentration of Medium VLDL Particles,10349,0.5515543120896904,0,0,0.5690514798228014,0,0,+,0.5515543120896904
PLA2G7,fid_23513,Cholesteryl Esters in Small VLDL,10349,0.5510412806833003,0,0,0.5704984377666237,0,0,+,0.5510412806833003
PLA2G7,fid_23419,Total Free Cholesterol,10349,0.5499588143587938,0,0,0.5587438757583811,0,0,+,0.5499588143587938
PLA2G7,fid_23535,Free Cholesterol in Large LDL,10349,0.5496990574207219,0,0,0.5612041063050899,0,0,+,0.5496990574207219
LDLR,fid_23589,Phospholipids to Total Lipids in Large VLDL percentage,10337,0.5485938991346241,0,0,0.6322381328748706,0,0,+,0.5485938991346241
LDLR,fid_23633,Triglycerides to Total Lipids in Very Large HDL percentage,10334,0.5469946185303612,0,0,0.6719647759031354,0,0,+,0.5469946185303612
PLA2G7,fid_23511,Phospholipids in Small VLDL,10349,0.5460610103476516,0,0,0.5642183499611253,0,0,+,0.5460610103476516
LDLR,fid_23624,Phospholipids to Total Lipids in Small LDL percentage,10338,-0.5460405874460719,0,0,-0.5425950532481362,0,0,-,0.5460405874460719
PLA2G7,fid_23519,Cholesterol in Very Small VLDL,10349,0.5441322815840036,0,0,0.5594195276318468,0,0,+,0.5441322815840036
LDLR,fid_23504,Phospholipids in Medium VLDL,10338,0.5437820861396263,0,0,0.5470677469988556,0,0,+,0.5437820861396263
PLA2G7,fid_23528,Free Cholesterol in IDL,10349,0.542683411671696,0,0,0.5525171869410489,0,0,+,0.542683411671696
PLA2G7,fid_23526,Cholesterol in IDL,10349,0.5417263073031869,0,0,0.5518645957089862,0,0,+,0.5417263073031869
LDLR,fid_23512,Cholesterol in Small VLDL,10338,0.541011816466135,0,0,0.542114896784909,0,0,+,0.541011816466135
RARRES2,fid_23480,Glycoprotein Acetyls,10345,0.5409894990490688,0,0,0.5661881392951261,0,0,+,0.5409894990490688
PLA2G7,fid_23520,Cholesteryl Esters in Very Small VLDL,10349,0.5403709808968157,0,0,0.5541457799355267,0,0,+,0.5403709808968157
APOA1,fid_23440,Apolipoprotein A1,9911,0.5399643374490137,0,0,0.6634451652365829,0,0,+,0.5399643374490137
PLA2G7,fid_23527,Cholesteryl Esters in IDL,10349,0.5372390538202523,0,0,0.5474023560933313,0,0,+,0.5372390538202523
PLA2G7,fid_23516,Concentration of Very Small VLDL Particles,10349,0.53563918868209,0,0,0.554455529300576,0,0,+,0.53563918868209
LDLR,fid_23636,Cholesteryl Esters to Total Lipids in Large HDL percentage,10338,-0.5347413171902168,0,0,-0.5678265115849862,0,0,-,0.5347413171902168
PLTP,fid_23418,Cholesteryl Esters in HDL,10412,0.5339343475342916,0,0,0.5473483969641562,0,0,+,0.5339343475342916
PLTP,fid_23406,HDL Cholesterol,10412,0.5331523578079224,0,0,0.5478866777946074,0,0,+,0.5331523578079224
PLA2G7,fid_23521,Free Cholesterol in Very Small VLDL,10349,0.5328514991069793,0,0,0.5505429309691909,0,0,+,0.5328514991069793
LDLR,fid_23617,Free Cholesterol to Total Lipids in Large LDL percentage,10338,-0.5304697282323493,0,0,-0.5255366799742299,0,0,-,0.5304697282323493
APOA1,fid_23570,Free Cholesterol in Medium HDL,9911,0.530138150637718,0,0,0.6503172316969615,0,0,+,0.530138150637718
APOA1,fid_23426,Total Lipids in HDL,9911,0.5294189389887248,0,0,0.6492326322413343,0,0,+,0.5294189389887248
PLTP,fid_23642,Free Cholesterol to Total Lipids in Medium HDL percentage,10412,0.5293665519816444,0,0,0.532943942457652,0,0,+,0.5293665519816444
APOA1,fid_23565,Concentration of Medium HDL Particles,9911,0.5291107362482197,0,0,0.6500927130086143,0,0,+,0.5291107362482197
APOA1,fid_23568,Cholesterol in Medium HDL,9911,0.5283652120205361,0,0,0.6484028747662807,0,0,+,0.5283652120205361
LDLR,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,10329,-0.5273259413255605,0,0,-0.5319667679305233,0,0,-,0.5273259413255605
APOA1,fid_23430,Concentration of HDL Particles,9911,0.5262417563665402,0,0,0.6482953736571718,0,0,+,0.5262417563665402
APOA1,fid_23406,HDL Cholesterol,9911,0.5255224047082032,0,0,0.6456748791883387,0,0,+,0.5255224047082032
APOA1,fid_23569,Cholesteryl Esters in Medium HDL,9911,0.52454600210048,0,0,0.6432516155244188,0,0,+,0.52454600210048
LDLR,fid_23416,Cholesteryl Esters in VLDL,10338,0.5243552482561683,0,0,0.5234946876045128,0,0,+,0.5243552482561683
APOA1,fid_23418,Cholesteryl Esters in HDL,9911,0.5241106327508986,0,0,0.6425712477583153,0,0,+,0.5241106327508986
PLTP,fid_23555,Cholesteryl Esters in Very Large HDL,10412,0.5173414134091405,0,0,0.5369533319366827,0,0,+,0.5173414134091405
LDLR,fid_23635,Cholesterol to Total Lipids in Large HDL percentage,10338,-0.5153373451219877,0,0,-0.5599996029500268,0,0,-,0.5153373451219877
APOA1,fid_23414,Phospholipids in HDL,9911,0.5150821043273419,0,0,0.6291144523240196,0,0,+,0.5150821043273419
PLA2G7,fid_23400,Total Cholesterol,10349,0.5133367530766839,0,0,0.5188431287449682,0,0,+,0.5133367530766839
OLR1,fid_23471,Lactate,10164,0.5122302818317638,0,0,0.5011962964575989,0,0,+,0.5122302818317638
PLA2G7,fid_23428,Concentration of VLDL Particles,10349,0.5122130557743361,0,0,0.5266809961329948,0,0,+,0.5122130557743361
APOA1,fid_23427,Total Concentration of Lipoprotein Particles,9911,0.5114191562006428,0,0,0.6277098334720578,0,0,+,0.5114191562006428
APOA1,fid_23422,Free Cholesterol in HDL,9911,0.5105807392405216,0,0,0.6259359645249886,0,0,+,0.5105807392405216
PLTP,fid_23422,Free Cholesterol in HDL,10412,0.5101806784782192,0,0,0.5250841134221075,0,0,+,0.5101806784782192
APOA1,fid_23566,Total Lipids in Medium HDL,9911,0.5095635419072594,0,0,0.6255792927326513,0,0,+,0.5095635419072594
LDLR,fid_23621,Cholesteryl Esters to Total Lipids in Medium LDL percentage,10338,0.5092441400835745,0,0,0.5112442386897247,0,0,+,0.5092441400835745
PLA2G7,fid_23503,Total Lipids in Medium VLDL,10349,0.5092144693751656,0,0,0.5235926269996054,0,0,+,0.5092144693751656
PLA2G7,fid_23517,Total Lipids in Very Small VLDL,10349,0.5085085724500956,0,0,0.5253303855437803,0,0,+,0.5085085724500956
PLA2G7,fid_23420,Free Cholesterol in VLDL,10349,0.5079030741412102,0,0,0.5212807669410813,0,0,+,0.5079030741412102
MFGE8,fid_23550,Triglycerides in Small LDL,10349,0.5073455880726374,0,0,0.4801753389128861,0,0,+,0.5073455880726374
