protein,metabolite,metabolite_label,r,q,r_s,q_s,sign,abs_r
APOA1,fid_23440,Apolipoprotein A1,0.5431348225051968,0,0.6628517801743263,0,+,0.5431348225051968
APOC1,fid_23440,Apolipoprotein A1,0.4152017523388072,0,0.480526486493918,0,+,0.4152017523388072
APOM,fid_23440,Apolipoprotein A1,0.4334110388166587,0,0.4396328306657828,0,+,0.4334110388166587
PLTP,fid_23440,Apolipoprotein A1,0.4383241485715774,0,0.44665173187811097,0,+,0.4383241485715774
FGFBP1,fid_23439,Apolipoprotein B,0.4570479135119897,0,0.462538425635824,0,+,0.4570479135119897
LDLR,fid_23439,Apolipoprotein B,0.4008576078248193,0,0.40165301499520306,0,+,0.4008576078248193
PLA2G7,fid_23439,Apolipoprotein B,0.6123198307934204,0,0.6324928347881197,0,+,0.6123198307934204
TFPI,fid_23439,Apolipoprotein B,0.37447806047134047,0,0.4095052754015596,0,+,0.37447806047134047
LDLR,fid_23441,Apolipoprotein B to Apolipoprotein A1 ratio,0.4065079896574671,0,0.41859208611846765,0,+,0.4065079896574671
PLA2G7,fid_23441,Apolipoprotein B to Apolipoprotein A1 ratio,0.5824749075721863,0,0.6047554805248202,0,+,0.5824749075721863
ADIPOQ,fid_23433,Average Diameter for HDL Particles,0.42843439138249834,0,0.42701062904041026,0,+,0.42843439138249834
APCS,fid_23433,Average Diameter for HDL Particles,-0.3838070813106353,0,-0.3663490475334727,1.3119142e-300,-,0.3838070813106353
APOA1,fid_23433,Average Diameter for HDL Particles,0.36913242038731825,0,0.4466464278421125,0,+,0.36913242038731825
CFH,fid_23433,Average Diameter for HDL Particles,-0.4212172421777878,0,-0.42584601022872537,0,-,0.4212172421777878
GHR,fid_23433,Average Diameter for HDL Particles,-0.371562421476943,0,-0.3663669282510725,1.2156213e-300,-,0.371562421476943
INHBC,fid_23433,Average Diameter for HDL Particles,-0.37916869977723866,0,-0.3837358979510347,0,-,0.37916869977723866
LDLR,fid_23433,Average Diameter for HDL Particles,-0.4684629978777655,0,-0.47168546876878087,0,-,0.4684629978777655
LEP,fid_23433,Average Diameter for HDL Particles,-0.37182327216091926,0,-0.3636965826098289,1.0622543486000001e-297,-,0.37182327216091926
MXRA8,fid_23433,Average Diameter for HDL Particles,0.46822895123434566,0,0.47477173295351194,0,+,0.46822895123434566
PLTP,fid_23433,Average Diameter for HDL Particles,0.575975277161054,0,0.5915230846186693,0,+,0.575975277161054
PON3,fid_23433,Average Diameter for HDL Particles,0.38515578067824946,0,0.4311993642611235,0,+,0.38515578067824946
SSC4D,fid_23433,Average Diameter for HDL Particles,-0.4205277638937124,0,-0.43956554067870574,0,-,0.4205277638937124
ADIPOQ,fid_23431,Average Diameter for VLDL Particles,-0.37998430915497594,0,-0.3809363397782388,0,-,0.37998430915497594
