name,type
fid_23474,metabolite
fid_23475,metabolite
fid_23476,metabolite
fid_23477,metabolite
fid_23460,metabolite
fid_23479,metabolite
fid_23440,metabolite
fid_23439,metabolite
fid_23441,metabolite
fid_23433,metabolite
fid_23432,metabolite
fid_23431,metabolite
fid_23484,metabolite
fid_23526,metabolite
fid_23561,metabolite
fid_23533,metabolite
fid_23498,metabolite
fid_23568,metabolite
fid_23540,metabolite
fid_23505,metabolite
fid_23575,metabolite
fid_23547,metabolite
fid_23512,metabolite
fid_23554,metabolite
fid_23491,metabolite
fid_23519,metabolite
fid_23580,metabolite
fid_23610,metabolite
fid_23635,metabolite
fid_23615,metabolite
fid_23590,metabolite
fid_23640,metabolite
fid_23620,metabolite
fid_23595,metabolite
fid_23645,metabolite
fid_23625,metabolite
fid_23600,metabolite
fid_23630,metabolite
fid_23585,metabolite
fid_23605,metabolite
fid_23485,metabolite
fid_23418,metabolite
fid_23527,metabolite
fid_23417,metabolite
fid_23562,metabolite
fid_23534,metabolite
fid_23499,metabolite
fid_23569,metabolite
fid_23541,metabolite
fid_23506,metabolite
fid_23576,metabolite
fid_23548,metabolite
fid_23513,metabolite
fid_23416,metabolite
fid_23555,metabolite
fid_23492,metabolite
fid_23520,metabolite
fid_23581,metabolite
fid_23611,metabolite
fid_23636,metabolite
fid_23616,metabolite
fid_23591,metabolite
fid_23641,metabolite
fid_23621,metabolite
fid_23596,metabolite
fid_23646,metabolite
fid_23626,metabolite
fid_23601,metabolite
fid_23631,metabolite
fid_23586,metabolite
fid_23606,metabolite
fid_23473,metabolite
fid_23404,metabolite
fid_23481,metabolite
fid_23430,metabolite
fid_23523,metabolite
fid_23429,metabolite
fid_23558,metabolite
fid_23530,metabolite
fid_23495,metabolite
fid_23565,metabolite
fid_23537,metabolite
fid_23502,metabolite
fid_23572,metabolite
fid_23544,metabolite
fid_23509,metabolite
fid_23428,metabolite
fid_23551,metabolite
fid_23488,metabolite
fid_23516,metabolite
fid_23478,metabolite
fid_23443,metabolite
fid_23450,metabolite
fid_23457,metabolite
fid_23486,metabolite
fid_23422,metabolite
fid_23528,metabolite
fid_23421,metabolite
fid_23563,metabolite
fid_23535,metabolite
fid_23500,metabolite
fid_23570,metabolite
fid_23542,metabolite
fid_23507,metabolite
fid_23577,metabolite
fid_23549,metabolite
fid_23514,metabolite
fid_23420,metabolite
fid_23556,metabolite
fid_23493,metabolite
fid_23521,metabolite
fid_23582,metabolite
fid_23612,metabolite
fid_23637,metabolite
fid_23617,metabolite
fid_23592,metabolite
fid_23642,metabolite
fid_23622,metabolite
fid_23597,metabolite
fid_23647,metabolite
fid_23627,metabolite
fid_23602,metabolite
fid_23632,metabolite
fid_23587,metabolite
fid_23607,metabolite
fid_23470,metabolite
fid_23461,metabolite
fid_23462,metabolite
fid_23480,metabolite
fid_23406,metabolite
fid_23463,metabolite
fid_23465,metabolite
fid_23405,metabolite
fid_23471,metabolite
fid_23466,metabolite
fid_23449,metabolite
fid_23456,metabolite
fid_23447,metabolite
fid_23454,metabolite
fid_23444,metabolite
fid_23451,metabolite
fid_23445,metabolite
fid_23459,metabolite
fid_23452,metabolite
fid_23468,metabolite
fid_23437,metabolite
fid_23434,metabolite
fid_23483,metabolite
fid_23414,metabolite
fid_23525,metabolite
fid_23413,metabolite
fid_23560,metabolite
fid_23532,metabolite
fid_23497,metabolite
fid_23567,metabolite
fid_23539,metabolite
fid_23504,metabolite
fid_23574,metabolite
fid_23546,metabolite
fid_23511,metabolite
fid_23412,metabolite
fid_23553,metabolite
fid_23490,metabolite
fid_23518,metabolite
fid_23579,metabolite
fid_23609,metabolite
fid_23634,metabolite
fid_23614,metabolite
fid_23589,metabolite
fid_23639,metabolite
fid_23619,metabolite
fid_23594,metabolite
fid_23644,metabolite
fid_23624,metabolite
fid_23599,metabolite
fid_23629,metabolite
fid_23584,metabolite
fid_23604,metabolite
fid_23446,metabolite
fid_23458,metabolite
fid_23453,metabolite
fid_23472,metabolite
fid_23402,metabolite
fid_23448,metabolite
fid_23455,metabolite
fid_23438,metabolite
fid_23400,metabolite
fid_23401,metabolite
fid_23436,metabolite
fid_23464,metabolite
fid_23427,metabolite
fid_23415,metabolite
fid_23442,metabolite
fid_23419,metabolite
fid_23482,metabolite
fid_23426,metabolite
fid_23524,metabolite
fid_23425,metabolite
fid_23559,metabolite
fid_23531,metabolite
fid_23496,metabolite
fid_23423,metabolite
fid_23566,metabolite
fid_23538,metabolite
fid_23503,metabolite
fid_23573,metabolite
fid_23545,metabolite
fid_23510,metabolite
fid_23424,metabolite
fid_23552,metabolite
fid_23489,metabolite
fid_23517,metabolite
fid_23411,metabolite
fid_23407,metabolite
fid_23487,metabolite
fid_23410,metabolite
fid_23529,metabolite
fid_23409,metabolite
fid_23564,metabolite
fid_23536,metabolite
fid_23501,metabolite
fid_23571,metabolite
fid_23543,metabolite
fid_23508,metabolite
fid_23578,metabolite
fid_23550,metabolite
fid_23515,metabolite
fid_23408,metabolite
fid_23557,metabolite
fid_23494,metabolite
fid_23522,metabolite
fid_23435,metabolite
fid_23583,metabolite
fid_23613,metabolite
fid_23638,metabolite
fid_23618,metabolite
fid_23593,metabolite
fid_23643,metabolite
fid_23623,metabolite
fid_23598,metabolite
fid_23648,metabolite
fid_23628,metabolite
fid_23603,metabolite
fid_23633,metabolite
fid_23588,metabolite
fid_23608,metabolite
fid_23469,metabolite
fid_23403,metabolite
fid_23467,metabolite
