name,type
A1BG,protein
AAMDC,protein
AARSD1,protein
ABCA2,protein
ABHD14B,protein
ABL1,protein
ABO,protein
ABRAXAS2,protein
ACAA1,protein
ACADM,protein
ACADSB,protein
ACAN,protein
ACE,protein
ACE2,protein
ACHE,protein
ACOT13,protein
ACOX1,protein
ACP1,protein
ACP5,protein
ACP6,protein
ACRBP,protein
ACRV1,protein
ACSL1,protein
ACTA2,protein
ACTN2,protein
ACTN4,protein
ACVRL1,protein
ACY1,protein
ACY3,protein
ACYP1,protein
ADA,protein
ADA2,protein
ADAM12,protein
ADAM15,protein
ADAM22,protein
ADAM23,protein
ADAM8,protein
ADAM9,protein
ADAMTS1,protein
ADAMTS13,protein
ADAMTS15,protein
ADAMTS16,protein
ADAMTS4,protein
ADAMTS8,protein
ADAMTSL2,protein
ADAMTSL4,protein
ADAMTSL5,protein
ADCYAP1R1,protein
ADD1,protein
ADGRB3,protein
ADGRD1,protein
ADGRE1,protein
ADGRE2,protein
ADGRE5,protein
ADGRF5,protein
ADGRG1,protein
ADGRG2,protein
ADGRV1,protein
ADH1B,protein
ADH4,protein
ADIPOQ,protein
ADM,protein
ADRA2A,protein
AFAP1,protein
AFM,protein
AFP,protein
AGBL2,protein
AGER,protein
AGR2,protein
AGR3,protein
AGRN,protein
AGRP,protein
AGT,protein
AGXT,protein
AHCY,protein
AHNAK,protein
AHNAK2,protein
AHSA1,protein
AHSG,protein
AHSP,protein
AIDA,protein
AIF1,protein
AIF1L,protein
AIFM1,protein
AK1,protein
AK2,protein
AKAP12,protein
AKR1B1,protein
AKR1B10,protein
AKR1C4,protein
AKR7L,protein
AKT1S1,protein
AKT2,protein
AKT3,protein
ALCAM,protein
ALDH1A1,protein
ALDH2,protein
ALDH3A1,protein
ALDH5A1,protein
ALMS1,protein
ALPI,protein
ALPP,protein
AMBN,protein
AMBP,protein
AMDHD2,protein
AMFR,protein
AMIGO1,protein
AMIGO2,protein
AMN,protein
AMOT,protein
AMOTL2,protein
AMPD3,protein
AMY1A_AMY1B_AMY1C,protein
AMY2A,protein
AMY2B,protein
ANG,protein
ANGPT1,protein
ANGPT2,protein
ANGPTL1,protein
ANGPTL2,protein
ANGPTL3,protein
ANGPTL4,protein
ANGPTL7,protein
ANK2,protein
ANKMY2,protein
ANKRA2,protein
ANKRD54,protein
ANP32C,protein
ANPEP,protein
ANXA1,protein
ANXA10,protein
ANXA11,protein
ANXA2,protein
ANXA3,protein
ANXA4,protein
ANXA5,protein
AOC1,protein
AOC3,protein
AP1G2,protein
AP2B1,protein
AP3B1,protein
AP3S2,protein
APBB1IP,protein
APCS,protein
APEX1,protein
APLP1,protein
APOA1,protein
APOA2,protein
APOA4,protein
APOB,protein
APOBR,protein
APOC1,protein
APOD,protein
APOE,protein
APOF,protein
APOH,protein
APOL1,protein
APOM,protein
APP,protein
APPL2,protein
APRT,protein
