protein,metabolite,metabolite_label,r,q,r_s,q_s,sign,abs_r
A1BG,fid_23480,Glycoprotein Acetyls,0.3551815325378997,3.8403469783367416e-291,0.3726526752223144,0,+,0.3551815325378997
A1BG,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.2157387552739867,9.64145053090069e-106,-0.2228811724277873,5.1536385850596485e-113,-,0.2157387552739867
A1BG,fid_23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,0.21249922169937044,1.4959605747886835e-102,0.2209519459300858,4.883677478673137e-111,+,0.21249922169937044
A1BG,fid_23578,Triglycerides in Small HDL,0.20396640674938488,2.105685034346296e-94,0.2077957183736463,4.5758326787327847e-98,+,0.20396640674938488
A1BG,fid_23447,Monounsaturated Fatty Acids,0.20392323164282172,2.3106781517477596e-94,0.21295411629779912,4.770812998242046e-103,+,0.20392323164282172
AAMDC,fid_23471,Lactate,0.2193261373226141,2.457628749429118e-109,0.2061081625127392,1.8266751218968869e-96,+,0.2193261373226141
AAMDC,fid_23447,Monounsaturated Fatty Acids,0.2027801018376524,2.67546710555217e-93,0.20708861770432943,2.1543644909404498e-97,+,0.2027801018376524
AAMDC,fid_23578,Triglycerides in Small HDL,0.20168993030385649,2.731003854937505e-92,0.20211152990929532,9.933175756322106e-93,+,0.20168993030385649
AAMDC,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.1945227490275137,8.273612408370996e-86,-0.1980286435367208,5.386836609993516e-89,-,0.1945227490275137
AAMDC,fid_23448,Saturated Fatty Acids,0.19402190372449868,2.296537791184605e-85,0.1936183668494997,4.687108219188889e-85,+,0.19402190372449868
AARSD1,fid_23461,Glutamine,-0.16159064722552888,2.907301297523482e-59,-0.15791306047374207,1.1573235063858821e-56,-,0.16159064722552888
AARSD1,fid_23471,Lactate,0.11379538317705332,7.007301701669029e-30,0.10913619777199636,1.3183320336594289e-27,+,0.11379538317705332
AARSD1,fid_23479,Albumin,-0.10379194479921498,4.681607372182449e-25,-0.0957637276677054,1.5514042994505613e-21,-,0.10379194479921498
ABCA2,fid_23478,Creatinine,0.1534278890947682,1.725692729436076e-53,0.15107405709234742,6.3599194937775046e-52,+,0.1534278890947682
ABCA2,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.14018648592050026,8.576895324468072e-45,-0.1444806713918007,1.4635822872917004e-47,-,0.14018648592050026
ABCA2,fid_23578,Triglycerides in Small HDL,0.1387977802841935,6.283561644810478e-44,0.14828720364594328,4.697835429128019e-50,+,0.1387977802841935
ABCA2,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.13828049958117586,1.3127055851123075e-43,-0.14703295356143414,3.1702662133062563e-49,-,0.13828049958117586
