protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
ADIPOQ,fid_23440,0.4330302355142805,0,0,0.44368786159559814,0,0,+,0.4330302355142805
APOA1,fid_23440,0.5915475299215571,0,0,0.7132493742618542,0,0,+,0.5915475299215571
APOC1,fid_23440,0.47061777623750245,0,0,0.5469729003678597,0,0,+,0.47061777623750245
APOM,fid_23440,0.4403991590995872,0,0,0.4445479044280179,0,0,+,0.4403991590995872
MENT,fid_23440,0.3970380997371439,0,0,0.4064366328062731,0,0,+,0.3970380997371439
MXRA8,fid_23440,0.42028452404005356,0,0,0.43069782289789804,0,0,+,0.42028452404005356
PLTP,fid_23440,0.47855513666374716,0,0,0.49097919939334594,0,0,+,0.47855513666374716
SERPINA6,fid_23440,0.3894946833808414,0,0,0.3875315133439538,0,0,+,0.3894946833808414
SSC4D,fid_23440,-0.4013467766820178,0,0,-0.40962216875393315,0,0,-,0.4013467766820178
FGFBP1,fid_23439,0.46494340470190865,0,0,0.46803739085394414,0,0,+,0.46494340470190865
LDLR,fid_23439,0.4014557708812964,0,0,0.4027410390247485,0,0,+,0.4014557708812964
PLA2G7,fid_23439,0.5719304900655268,0,0,0.5879825653542019,0,0,+,0.5719304900655268
LDLR,fid_23441,0.3971618424657529,0,0,0.41000540049451767,0,0,+,0.3971618424657529
PLA2G7,fid_23441,0.597004826840999,0,0,0.6198989087008171,0,0,+,0.597004826840999
ADH4,fid_23433,-0.36967184180942914,0,0,-0.3913140556289704,0,0,-,0.36967184180942914
ADIPOQ,fid_23433,0.5404362301940207,0,0,0.5527198642884693,0,0,+,0.5404362301940207
APCS,fid_23433,-0.476161288857589,0,0,-0.4652668532787737,0,0,-,0.476161288857589
APOA1,fid_23433,0.44067736724082046,0,0,0.531212879470103,0,0,+,0.44067736724082046
CD300LG,fid_23433,0.39710326303741245,0,0,0.3959997938778645,0,0,+,0.39710326303741245
CD38,fid_23433,-0.3965435384288514,0,0,-0.42247973880910766,0,0,-,0.3965435384288514
CDHR2,fid_23433,-0.41811618447095966,0,0,-0.43777347130686955,0,0,-,0.41811618447095966
CFH,fid_23433,-0.3880380583861319,0,0,-0.388639451164112,0,0,-,0.3880380583861319
CLUL1,fid_23433,0.39171241692155323,0,0,0.39711800787769963,0,0,+,0.39171241692155323
CNTN3,fid_23433,-0.38425028227070107,0,0,-0.4046207981726365,0,0,-,0.38425028227070107
EPHA1,fid_23433,-0.40370044385897036,0,0,-0.40844558835176636,0,0,-,0.40370044385897036
GUSB,fid_23433,-0.3804402287174402,0,0,-0.41134183176084355,0,0,-,0.3804402287174402
INSL3,fid_23433,-0.3825684524980317,0,0,-0.39443832333540424,0,0,-,0.3825684524980317
LDLR,fid_23433,-0.4169309169371148,0,0,-0.4149208475704878,0,0,-,0.4169309169371148
LPL,fid_23433,0.4308596537601749,0,0,0.45381743694914506,0,0,+,0.4308596537601749
