module_protein,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
2,GO:0042743,hydrogen peroxide metabolic process,9/214,55/18986,0.16363636363636364,14.517757009345795,10.719045566186686,1.0069500699969255e-8,1.787941756562773e-5,1.5110070777945912e-5,CAT/HBQ1/MPO/PARK7/PRDX2/SNCA/SOD1/TXN/HBZ,9
2,GO:0098869,cellular oxidant detoxification,11/214,99/18986,0.1111111111111111,9.85773624091381,9.434432157207873,1.527016498266833e-8,1.787941756562773e-5,1.5110070777945912e-5,CAT/CCS/GSR/HBQ1/MPO/PARK7/PRDX2/PRDX6/SOD1/TXN/HBZ,11
2,GO:1990748,cellular detoxification,12/214,125/18986,0.096,8.517084112149533,9.002828423441168,1.7802274376662195e-8,1.787941756562773e-5,1.5110070777945912e-5,ALDH1A1/CAT/CCS/GSR/HBQ1/MPO/PARK7/PRDX2/PRDX6/SOD1/TXN/HBZ,12
2,GO:0097237,cellular response to toxic substance,12/214,135/18986,0.08888888888888889,7.88618899273105,8.573053619600532,4.234565602809775e-8,3.189686540316463e-5,2.69563531399917e-5,ALDH1A1/CAT/CCS/GSR/HBQ1/MPO/PARK7/PRDX2/PRDX6/SOD1/TXN/HBZ,12
2,GO:0009117,nucleotide metabolic process,22/214,500/18986,0.044,3.9036635514018685,7.025330103801428,5.6515388563807826e-8,3.40561731485506e-5,2.8781205249652873e-5,ADA/AK1/AMPD3/CDA/DNPH1/DTYMK/GMPR/GIMAP7/MDH1/NADK/NAMPT/NAPRT/NMNAT1/PARK7/PARP1/PKLR/RBKS/RPE/SLC4A1/TALDO1/RRM2/TP53I3,22
2,GO:0006979,response to oxidative stress,19/214,405/18986,0.04691358024691358,4.1621553017191655,6.868044177849911,1.786553056259894e-7,8.971473930851769e-5,7.581880426478393e-5,CAT/CCS/CD2AP/BCL2/GCLM/GSR/KLF4/MPO/NAPRT/PARK7/PARP1/PRDX2/PRDX6/PSIP1/PXN/MAPK13/SNCA/SOD1/TXN,19
2,GO:0032781,positive regulation of ATP-dependent activity,7/214,40/18986,0.175,15.525934579439252,9.819112315523261,2.84856409184688e-7,1.1876587904422107e-4,1.0037020679091333e-4,DNAJB1/DNAJB2/DNAJC9/HSPA2/MYL4/SETMAR/TOR1AIP1,7
2,GO:0050729,positive regulation of inflammatory response,12/214,162/18986,0.07407407407407407,6.571824160609206,7.604240905479452,3.153425265030762e-7,1.1876587904422107e-4,1.0037020679091333e-4,CASP1/DDT/CEBPB/GBP1/IL18/IL16/MMP8/OSM/PARK7/S100A12/MAPK13/SNCA,12
2,GO:0098754,detoxification,12/214,167/18986,0.0718562874251497,6.375062958195757,7.449042199571314,4.378939112470012e-7,1.465971505096905e-4,1.2389068670251414e-4,ALDH1A1/CAT/CCS/GSR/HBQ1/MPO/PARK7/PRDX2/PRDX6/SOD1/TXN/HBZ,12
2,GO:0050727,regulation of inflammatory response,19/214,438/18986,0.04337899543378995,3.8485682584389536,6.439795213160704,5.899697064176069e-7,1.7775787254362496e-4,1.5022491787623063e-4,ADA/ANXA1/CASP1/DDT/CEBPB/FGR/GBP1/IL18/IL16/KLF4/MMP8/MMP9/OSM/PARK7/PIK3AP1/S100A12/MAPK13/SNCA/SOD1,19
2,GO:0042744,hydrogen peroxide catabolic process,6/214,31/18986,0.1935483870967742,17.171540548688572,9.62115610539357,1.1124618025009612e-6,3.047134009941269e-4,2.575162775358684e-4,CAT/HBQ1/MPO/PRDX2/SNCA/HBZ,6
2,GO:0043094,cellular metabolic compound salvage,6/214,33/18986,0.18181818181818182,16.130841121495326,9.28833721882187,1.6422801317768958e-6,4.1234916975364897e-4,3.484803191902027e-4,ADA/AMPD3/CDA/DNPH1/MRI1/NAPRT,6
2,GO:0006163,purine nucleotide metabolic process,18/214,440/18986,0.04090909090909091,3.6294392523364487,5.958284920094777,2.708537064251513e-6,6.277555518915238e-4,5.305223610060252e-4,ADA/AK1/AMPD3/DNPH1/GMPR/GIMAP7/MDH1/NADK/NAMPT/NAPRT/NMNAT1/PARP1/PKLR/RBKS/RPE/SLC4A1/TALDO1/TP53I3,18
2,GO:1901293,nucleoside phosphate biosynthetic process,15/214,321/18986,0.04672897196261682,4.145776923748799,6.069086900486977,3.85867906337561e-6,7.846632506591827e-4,6.631265929549366e-4,ADA/AK1/AMPD3/CDA/DTYMK/GNPDA1/NADK/NAMPT/NAPRT/NMNAT1/PARP1/PPCDC/SNCA/RRM2/TPK1,15
2,GO:0019362,pyridine nucleotide metabolic process,11/214,172/18986,0.06395348837209303,5.673929580525973,6.574500051110283,4.166814474127754e-6,7.846632506591827e-4,6.631265929549366e-4,MDH1/NADK/NAMPT/NAPRT/NMNAT1/PKLR/RBKS/RPE/SLC4A1/TALDO1/TP53I3,11
2,GO:0046496,nicotinamide nucleotide metabolic process,11/214,172/18986,0.06395348837209303,5.673929580525973,6.574500051110283,4.166814474127754e-6,7.846632506591827e-4,6.631265929549366e-4,MDH1/NADK/NAMPT/NAPRT/NMNAT1/PKLR/RBKS/RPE/SLC4A1/TALDO1/TP53I3,11
2,GO:0019430,removal of superoxide radicals,5/214,23/18986,0.21739130434782608,19.286875253961803,9.36929282435081,4.9515364359342105e-6,8.775870165570458e-4,7.41657376998443e-4,CCS/MPO/PARK7/PRDX2/SOD1,5
2,GO:0034599,cellular response to oxidative stress,13/214,251/18986,0.05179282868525897,4.59504039915106,6.121681098140915,5.746206055444551e-6,9.187134586542076e-4,7.764137357362058e-4,CAT/CCS/GSR/KLF4/MPO/PARK7/PARP1/PRDX2/PXN/MAPK13/SNCA/SOD1/TXN,13
2,GO:0072524,pyridine-containing compound metabolic process,11/214,178/18986,0.06179775280898876,5.4826735272498155,6.415532629162544,5.7934137784367565e-6,9.187134586542076e-4,7.764137357362058e-4,MDH1/NADK/NAMPT/NAPRT/NMNAT1/PKLR/RBKS/RPE/SLC4A1/TALDO1/TP53I3,11
2,GO:0043462,regulation of ATP-dependent activity,7/214,63/18986,0.1111111111111111,9.85773624091381,7.518910905431929,6.787765242248698e-6,9.251098734710623e-4,7.818194085022795e-4,DNAJB1/DNAJB2/DNAJC9/HSPA2/MYL4/SETMAR/TOR1AIP1,7
2,GO:0034614,cellular response to reactive oxygen species,10/214,148/18986,0.06756756756756757,5.994569335690832,6.512810209488209,7.0637356731210545e-6,9.251098734710623e-4,7.818194085022795e-4,CAT/CCS/KLF4/MPO/PARK7/PRDX2/PXN/MAPK13/SOD1/TXN,10
