ontology,pathway_id,pathway_description,module_protein,protein,metabolite_label
GO,GO:0042060,wound healing,1,CD40LG,Lactate
GO,GO:0042060,wound healing,1,CD40LG,Pyruvate
GO,GO:0042060,wound healing,1,CHMP6,Triglycerides in Very Large HDL
GO,GO:0042060,wound healing,1,CHMP6,Triglycerides in Large HDL
GO,GO:0042060,wound healing,1,DAG1,Lactate
GO,GO:0042060,wound healing,1,EREG,Lactate
GO,GO:0042060,wound healing,1,GP5,Lactate
GO,GO:0042060,wound healing,1,GP5,Pyruvate
GO,GO:0042060,wound healing,1,HBEGF,Lactate
GO,GO:0042060,wound healing,1,PDGFB,Lactate
GO,GO:0042060,wound healing,1,SDC4,Lactate
GO,GO:0042060,wound healing,1,SERPINE1,Lactate
GO,GO:0007599,hemostasis,1,CD40LG,Lactate
GO,GO:0007599,hemostasis,1,CD40LG,Pyruvate
GO,GO:0007599,hemostasis,1,GP5,Lactate
GO,GO:0007599,hemostasis,1,GP5,Pyruvate
GO,GO:0007599,hemostasis,1,PDGFB,Lactate
GO,GO:0007599,hemostasis,1,SERPINE1,Lactate
GO,GO:0042327,positive regulation of phosphorylation,1,ANGPT1,Lactate
GO,GO:0042327,positive regulation of phosphorylation,1,APP,Lactate
GO,GO:0042327,positive regulation of phosphorylation,1,EGF,Lactate
GO,GO:0042327,positive regulation of phosphorylation,1,EREG,Lactate
GO,GO:0042327,positive regulation of phosphorylation,1,HBEGF,Lactate
GO,GO:0042327,positive regulation of phosphorylation,1,IL1B,Lactate
GO,GO:0042327,positive regulation of phosphorylation,1,IL1B,Pyruvate
GO,GO:0042327,positive regulation of phosphorylation,1,ITGA6,Lactate
GO,GO:0042327,positive regulation of phosphorylation,1,PDGFB,Lactate
GO,GO:0042327,positive regulation of phosphorylation,1,SYAP1,Omega-6 Fatty Acids
GO,GO:0042327,positive regulation of phosphorylation,1,SYAP1,Total Lipids in Very Small VLDL
GO,GO:0042327,positive regulation of phosphorylation,1,SYAP1,Concentration of Very Small VLDL Particles
GO,GO:0042327,positive regulation of phosphorylation,1,SYAP1,Linoleic Acid
GO,GO:0030168,platelet activation,1,CD40LG,Lactate
GO,GO:0030168,platelet activation,1,CD40LG,Pyruvate
GO,GO:0030168,platelet activation,1,GP5,Lactate
GO,GO:0030168,platelet activation,1,GP5,Pyruvate
GO,GO:0030168,platelet activation,1,PDGFB,Lactate
GO,GO:0001934,positive regulation of protein phosphorylation,1,ANGPT1,Lactate
GO,GO:0001934,positive regulation of protein phosphorylation,1,APP,Lactate
GO,GO:0001934,positive regulation of protein phosphorylation,1,EGF,Lactate
GO,GO:0001934,positive regulation of protein phosphorylation,1,EREG,Lactate
GO,GO:0001934,positive regulation of protein phosphorylation,1,HBEGF,Lactate
GO,GO:0001934,positive regulation of protein phosphorylation,1,IL1B,Lactate
GO,GO:0001934,positive regulation of protein phosphorylation,1,IL1B,Pyruvate
GO,GO:0001934,positive regulation of protein phosphorylation,1,PDGFB,Lactate
GO,GO:0001934,positive regulation of protein phosphorylation,1,SYAP1,Omega-6 Fatty Acids
GO,GO:0001934,positive regulation of protein phosphorylation,1,SYAP1,Total Lipids in Very Small VLDL
GO,GO:0001934,positive regulation of protein phosphorylation,1,SYAP1,Concentration of Very Small VLDL Particles
GO,GO:0001934,positive regulation of protein phosphorylation,1,SYAP1,Linoleic Acid
GO,GO:0050817,coagulation,1,ANGPT1,Lactate
GO,GO:0050817,coagulation,1,CD40LG,Lactate
GO,GO:0050817,coagulation,1,CD40LG,Pyruvate
GO,GO:0050817,coagulation,1,GP5,Lactate
GO,GO:0050817,coagulation,1,GP5,Pyruvate
GO,GO:0050817,coagulation,1,PDGFB,Lactate
GO,GO:0050817,coagulation,1,SERPINE1,Lactate
GO,GO:0007596,blood coagulation,1,CD40LG,Lactate
GO,GO:0007596,blood coagulation,1,CD40LG,Pyruvate
GO,GO:0007596,blood coagulation,1,GP5,Lactate
GO,GO:0007596,blood coagulation,1,GP5,Pyruvate
GO,GO:0007596,blood coagulation,1,PDGFB,Lactate
GO,GO:0007596,blood coagulation,1,SERPINE1,Lactate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,APP,Lactate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,BID,Lactate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,BID,Pyruvate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,CD40LG,Lactate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,CD40LG,Pyruvate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,IL1B,Lactate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,IL1B,Pyruvate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,ITGA6,Lactate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,SERPINE1,Lactate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,TNFSF14,Lactate
GO,GO:2001233,regulation of apoptotic signaling pathway,1,TNFSF14,Pyruvate
GO,GO:0097193,intrinsic apoptotic signaling pathway,1,APP,Lactate
GO,GO:0097193,intrinsic apoptotic signaling pathway,1,BID,Lactate
GO,GO:0097193,intrinsic apoptotic signaling pathway,1,BID,Pyruvate
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,CHMP6,Triglycerides in Very Large HDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,CHMP6,Triglycerides in Large HDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Triglycerides in Small HDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Glycoprotein Acetyls
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Monounsaturated Fatty Acids
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Total Triglycerides
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Monounsaturated Fatty Acids to Total Fatty Acids percentage
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Triglycerides in Small LDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Cholesterol in Chylomicrons and Extremely Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Concentration of Very Large VLDL Particles
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Triglycerides in Small VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Total Lipids in Very Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Phospholipids in Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Triglycerides in VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Phospholipids in Very Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Triglycerides in Very Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Concentration of Large VLDL Particles
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Free Cholesterol in Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Free Cholesterol in Very Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Free Cholesterol in Chylomicrons and Extremely Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Triglycerides to Total Lipids in Medium HDL percentage
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Phospholipids in Chylomicrons and Extremely Large VLDL
GO,GO:0010563,negative regulation of phosphorus metabolic process,1,HHEX,Triglycerides to Total Lipids in Small HDL percentage
