protein,module_protein,degree_pp
AAMDC,1,823
AARSD1,2,610
ABHD14B,1,847
ABL1,1,869
ABRAXAS2,1,842
ACAA1,3,698
ACADSB,1,816
ACOT13,1,853
ACOX1,1,713
ACE2,3,74
ACP5,3,7
ACY1,3,161
ACP1,2,106
ACRBP,1,816
ACYP1,2,866
ACVRL1,3,213
ADAM22,3,175
ADA,2,308
ADAMTSL2,3,111
ADA2,3,102
ADAM8,3,126
ADAM15,3,14
ADGRE1,3,61
ADGRE2,3,165
ADAMTS4,1,33
ADGRE5,3,169
ACAN,3,58
ACY3,3,49
ADH1B,3,103
ADH4,3,114
ADAM12,3,19
ADAMTS15,3,142
ADM,3,158
ADD1,2,835
ADGRF5,1,614
AGRN,3,252
AHNAK,3,168
AHCY,1,844
ACE,4,30
AFM,3,92
AHSA1,1,505
AIF1,1,792
AHSP,2,78
AFAP1,1,306
AIFM1,1,869
AK1,2,397
AK2,1,858
AGXT,3,75
AKR1B1,1,789
AKT1S1,1,866
AKT2,1,853
ADGRG2,3,40
AGER,3,44
AKR7L,3,52
AKT3,1,845
ABO,3,9
ACSL1,4,7
AKAP12,4,15
ALCAM,3,247
AIDA,4,36
ALDH5A1,1,690
ALDH1A1,2,187
AMY1A_AMY1B_AMY1C,5,7
AMY2A,5,16
AMOTL2,1,637
ANGPT1,1,647
AMPD3,2,112
ANKMY2,1,847
ANXA11,1,810
ANKRD54,2,254
ANXA1,2,47
ANXA2,1,676
ANXA3,1,882
ANPEP,3,47
ANXA4,1,870
AP1G2,1,857
AMFR,4,74
AP2B1,1,827
AP3B1,1,876
AP3S2,1,864
A1BG,3,34
AMBP,3,156
APBB1IP,2,606
APOA1,3,17
AHSG,3,8
AMDHD2,4,59
APOA4,3,17
ADIPOQ,3,26
APOC1,3,10
APOD,3,12
APOF,3,11
APLP1,3,102
APEX1,2,788
APP,1,721
APPL2,1,841
APRT,1,763
ARAF,1,710
ARF6,1,811
ARFIP1,1,847
ARHGAP1,1,790
ARHGAP25,1,759
ARHGAP45,1,846
ARHGEF1,1,859
ARHGEF10,1,806
ARHGEF12,1,832
ARG2,1,101
ARL13B,1,772
ARL2BP,1,843
ARSA,1,467
ADAM23,3,34
ARSB,1,849
ANGPTL4,3,40
APCS,3,79
APOB,4,52
ASGR1,3,228
ASAH1,1,764
ASPSCR1,1,857
ASRGL1,1,824
ARG1,2,90
ATG16L1,1,867
ATG4A,2,757
ATP1B2,4,32
ADRA2A,4,8
ARHGAP30,4,42
ATOX1,1,835
ATP5IF1,1,845
ATP6V1F,1,753
ADAM9,3,87
ART3,3,112
ASGR2,3,67
ATP6V1G1,1,873
ATXN10,1,807
ATXN2L,1,789
ATXN3,2,838
AXIN1,1,850
ATRAID,3,175
ATP1B3,4,4
AXL,3,167
B2M,3,148
APOM,3,16
AZI2,1,820
AHNAK2,3,38
BABAM1,4,15
BACH1,1,835
BAG4,1,880
BAG6,1,855
AZU1,2,114
BAIAP2,3,400
BANK1,1,825
AOC3,3,42
B4GAT1,3,37
BAX,1,858
ATRN,3,29
BAP18,2,236
BCAT1,1,683
BCL2L1,1,869
BCL2L11,1,441
BCR,1,837
BDNF,1,697
BECN1,1,876
B3GAT3,4,24
BGN,1,501
BID,1,836
BIN2,1,840
BIRC2,1,838
BLMH,1,749
ASPN,3,3
BLOC1S3,1,870
ADGRD1,3,14
ANGPT2,3,7
BMP10,3,14
BHMT2,4,88
BLNK,2,22
BNIP2,1,804
BNIP3L,1,827
BLVRB,2,107
BOLA1,2,632
BOLA2_BOLA2B,2,806
BRAP,1,835
BRDT,1,668
BRK1,1,736
B4GALT1,3,182
BAG3,3,82
ASS1,3,62
BRSK2,1,660
BAMBI,3,31
BMPER,3,97
BSG,3,195
BST2,3,69
ANGPTL2,3,46
BRD1,4,29
APOE,3,9
C1R,3,34
C1RL,3,18
BTC,1,728
C1S,3,38
C3,3,30
BCL2L15,2,67
C9ORF40,2,113
BTN2A1,3,308
BMP6,1,417
BTN3A2,1,590
C2ORF69,1,663
BCAN,3,50
CA1,2,95
CA2,2,190
C19ORF12,3,70
ANXA10,3,7
CA13,1,841
BRD2,4,19
CABP2,1,522
CACNB3,1,858
CACYBP,1,863
CALCOCO1,1,807
C1GALT1C1,4,9
CALCOCO2,1,853
CAMKK1,1,777
CAMLG,1,465
ACTN2,3,23
CA3,2,87
C7ORF50,2,121
CAMSAP1,1,805
CAPG,2,31
CASC3,1,852
CASP10,1,831
CANT1,3,536
CASP2,1,850
CASP3,1,861
CASP7,1,861
CASP8,1,860
CARHSP1,2,127
CA9,3,10
CA5A,3,72
CASP9,1,706
CAT,2,149
C1QTNF6,4,25
CC2D1A,1,891
CA12,3,102
CCL11,3,42
ANG,3,24
CCL13,1,608
CCDC134,1,773
CCL14,3,87
C1QTNF1,3,25
CCDC80,3,181
CCL17,1,673
CCL18,3,10
AGRP,3,17
CCL22,3,106
ALPI,3,12
CCL23,3,34
CCL3,3,24
CCL28,1,110
CCL4,1,39
CCL5,1,698
CCL7,3,73
CCL27,3,16
CCL26,1,35
CCL8,1,350
CCN1,3,109
CCN2,1,710
CCN3,3,192
CCS,2,596
BCAM,3,72
ANGPTL3,3,16
C2,3,14
ADGRG1,3,24
CCN4,3,141
CCT5,1,817
CA14,3,23
CD163,3,126
CD164,1,652
AMIGO2,3,27
CD160,3,128
CD226,1,802
ACHE,3,11
CCL21,3,9
CD244,3,464
CD27,3,207
CD22,3,59
CD274,3,656
CD28,3,77
CD300A,3,155
CD300C,3,221
CD300E,3,246
CA4,3,34
CD200,3,110
CD248,3,81
CD300LG,3,120
CD2AP,2,843
CD302,3,151
CACNA1C,4,9
CD38,3,144
CD36,1,714
CD40,1,866
CD14,3,59
CD40LG,1,800
CD4,3,95
CD46,3,956
CD48,3,148
CD34,3,61
BOC,3,31
CD109,3,36
CD276,3,25
CD55,3,209
ACTA2,3,19
CCL15,3,16
CCL16,3,29
CCN5,3,57
CD5,3,147
CD63,1,814
CD59,3,270
CD300LF,3,26
CD72,3,174
CD74,3,255
CD79B,3,231
CD80,3,169
CD69,1,845
CD1C,3,3
CD83,3,241
ADAMTS8,3,10
CD58,3,139
CD84,1,815
CD93,3,233
CD99,3,474
CD99L2,3,627
CDC26,1,855
CDC27,1,804
CDC37,1,880
CCL25,3,8
CDH1,3,77
CDAN1,4,14
CDH17,3,12
CDH3,3,185
CDH5,3,98
BPIFB2,3,26
CBS,3,63
CDH2,3,122
CDC42BPB,1,836
CDH23,4,45
CDK5RAP3,1,717
CDKN1A,1,848
CDKN2D,1,841
CDSN,3,22
ALPP,3,11
CEACAM5,3,5
CEACAM6,3,15
CCNE1,4,34
CDA,2,37
CEACAM8,2,67
AMY2B,5,16
CELA2A,5,15
CDNF,1,673
CEP170,1,800
CEP20,1,844
CEP43,1,864
CEP85,1,808
CDHR2,3,93
AGR3,3,3
BMP4,3,5
CERT,1,843
CETN2,1,844
C5,3,25
C8B,3,10
CELSR2,3,37
BCHE,3,21
BTD,3,19
CDHR5,3,11
CES1,3,104
CFB,3,57
CFD,3,144
CFHR2,3,3
CFH,3,129
CFHR5,3,13
CFI,3,138
CENPF,2,137
CEP164,4,6
CETN3,1,854
BGLAP,3,5
CHCHD10,3,209
CBLIF,3,6
CALB1,3,21
CHAC2,2,797
CHM,1,820
CHMP1A,1,831
CDON,3,79
CHMP6,1,867
CIAPIN1,1,889
AREG,3,11
CGREF1,3,103
CHRDL1,3,246
APOA2,3,4
CASP1,2,25
CDH6,3,90
CHGB,3,51
CKAP4,3,261
CLEC14A,3,257
CIRBP,1,868
ATP2B4,4,31
BCL7B,4,19
CACNB1,4,3
CLASP1,4,39
CFP,3,37
CD209,3,3
CLEC4D,3,73
CLEC1B,1,864
CALB2,3,12
CLEC1A,3,136
CIT,2,135
CLIP2,1,835
CELA3A,5,18
CLPP,1,812
CLTA,1,734
CMC1,1,867
CMIP,1,854
CNP,1,874
CNPY4,1,861
CBLN4,3,4
CHL1,3,14
CNTN1,3,68
CKB,3,51
CNTN4,3,63
CNTN2,3,14
CLEC2L,4,56
CLMP,3,216
COL15A1,3,184
CHAD,3,11
COCH,1,469
CLEC11A,3,18
COL1A1,3,16
COL18A1,3,209
COL6A3,3,328
CNST,1,822
COL2A1,1,407
COMMD1,1,870
CILP,3,9
COMMD9,1,668
COMT,1,864
COPB2,1,641
ARID3A,4,16
CORO1A,1,840
COX5B,1,823
CLPS,5,14
CPA1,5,16
CPA2,5,8
CNTN3,3,30
COX6B1,1,796
COL5A1,3,37
COLEC12,3,299
CD86,3,42
CR1,3,45
CPPED1,2,716
