metabolite_label,module_protein,q_fisher,k,K,n,p_fisher
Glycoprotein Acetyls,3,2.9606260203039985e-8,34,1099,35,6.728695500690905e-11
Total Phospholipids in Lipoprotein Particles,3,3.6205318324116305e-8,25,1099,25,3.949671089903597e-9
Total Lipids in Lipoprotein Particles,3,3.6205318324116305e-8,25,1099,25,3.949671089903597e-9
Phosphoglycerides,3,3.6205318324116305e-8,25,1099,25,3.949671089903597e-9
Polyunsaturated Fatty Acids,3,3.6205318324116305e-8,25,1099,25,3.949671089903597e-9
Omega-6 Fatty Acids to Total Fatty Acids percentage,3,3.6205318324116305e-8,25,1099,25,3.949671089903597e-9
Saturated Fatty Acids to Total Fatty Acids percentage,3,3.6205318324116305e-8,25,1099,25,3.949671089903597e-9
Linoleic Acid to Total Fatty Acids percentage,3,3.6205318324116305e-8,25,1099,25,3.949671089903597e-9
Valine,3,3.6205318324116305e-8,25,1099,25,3.949671089903597e-9
Creatinine,3,3.6205318324116305e-8,25,1099,25,3.949671089903597e-9
