protein,module_protein,ENTREZID
AAMDC,1,28971
AARSD1,2,80755
ABHD14B,1,84836
ABL1,1,25
ABRAXAS2,1,23172
ACAA1,3,30
ACADSB,1,36
ACOT13,1,55856
ACOX1,1,51
ACE2,3,59272
ACP5,3,54
ACY1,3,95
ACP1,2,52
ACRBP,1,84519
ACYP1,2,97
ACVRL1,3,94
ADAM22,3,53616
ADA,2,100
ADAMTSL2,3,9719
ADA2,3,51816
ADAM8,3,101
ADAM15,3,8751
ADGRE1,3,2015
ADGRE2,3,30817
ADAMTS4,1,9507
ADGRE5,3,976
ACAN,3,176
ACY3,3,91703
ADH1B,3,125
ADH4,3,127
ADAM12,3,8038
ADAMTS15,3,170689
ADM,3,133
ADD1,2,118
ADGRF5,1,221395
AGRN,3,375790
AHNAK,3,79026
AHCY,1,191
ACE,4,1636
AFM,3,173
AHSA1,1,10598
AIF1,1,199
AHSP,2,51327
AFAP1,1,60312
AIFM1,1,9131
AK1,2,203
AK2,1,204
AGXT,3,189
AKR1B1,1,231
AKT1S1,1,84335
AKT2,1,208
ADGRG2,3,10149
AGER,3,177
AKR7L,3,246181
AKT3,1,10000
ABO,3,28
ACSL1,4,2180
AKAP12,4,9590
ALCAM,3,214
AIDA,4,64853
ALDH5A1,1,7915
ALDH1A1,2,216
AMY1A_AMY1B_AMY1C,5,NA
AMY2A,5,279
AMOTL2,1,51421
ANGPT1,1,284
AMPD3,2,272
ANKMY2,1,57037
ANXA11,1,311
ANKRD54,2,129138
ANXA1,2,301
ANXA2,1,302
ANXA3,1,306
ANPEP,3,290
ANXA4,1,307
AP1G2,1,8906
AMFR,4,267
AP2B1,1,163
AP3B1,1,8546
AP3S2,1,10239
A1BG,3,1
AMBP,3,259
APBB1IP,2,54518
APOA1,3,335
AHSG,3,197
AMDHD2,4,51005
APOA4,3,337
ADIPOQ,3,9370
APOC1,3,341
APOD,3,347
APOF,3,319
APLP1,3,333
APEX1,2,328
APP,1,351
APPL2,1,55198
APRT,1,353
ARAF,1,369
ARF6,1,382
ARFIP1,1,27236
ARHGAP1,1,392
ARHGAP25,1,9938
ARHGAP45,1,23526
ARHGEF1,1,9138
ARHGEF10,1,9639
ARHGEF12,1,23365
ARG2,1,384
ARL13B,1,200894
ARL2BP,1,23568
ARSA,1,410
ADAM23,3,8745
ARSB,1,411
ANGPTL4,3,51129
APCS,3,325
APOB,4,338
ASGR1,3,432
ASAH1,1,427
ASPSCR1,1,79058
ASRGL1,1,80150
ARG1,2,383
ATG16L1,1,55054
ATG4A,2,115201
ATP1B2,4,482
ADRA2A,4,150
ARHGAP30,4,257106
ATOX1,1,475
ATP5IF1,1,93974
ATP6V1F,1,9296
ADAM9,3,8754
ART3,3,419
ASGR2,3,433
ATP6V1G1,1,9550
ATXN10,1,25814
ATXN2L,1,11273
ATXN3,2,4287
AXIN1,1,8312
ATRAID,3,51374
ATP1B3,4,483
AXL,3,558
B2M,3,567
APOM,3,55937
AZI2,1,64343
AHNAK2,3,113146
BABAM1,4,29086
BACH1,1,571
BAG4,1,9530
BAG6,1,7917
AZU1,2,566
BAIAP2,3,10458
BANK1,1,55024
AOC3,3,8639
B4GAT1,3,11041
BAX,1,581
ATRN,3,8455
BAP18,2,NA
BCAT1,1,586
BCL2L1,1,598
BCL2L11,1,10018
BCR,1,613
BDNF,1,627
BECN1,1,8678
B3GAT3,4,26229
BGN,1,633
BID,1,637
BIN2,1,51411
BIRC2,1,329
BLMH,1,642
ASPN,3,54829
BLOC1S3,1,388552
ADGRD1,3,283383
ANGPT2,3,285
BMP10,3,27302
BHMT2,4,23743
BLNK,2,29760
BNIP2,1,663
BNIP3L,1,665
BLVRB,2,645
BOLA1,2,51027
BOLA2_BOLA2B,2,NA
BRAP,1,8315
BRDT,1,676
BRK1,1,55845
B4GALT1,3,2683
BAG3,3,9531
ASS1,3,445
BRSK2,1,9024
BAMBI,3,25805
BMPER,3,168667
BSG,3,682
BST2,3,684
ANGPTL2,3,23452
BRD1,4,23774
APOE,3,348
C1R,3,715
C1RL,3,51279
BTC,1,685
C1S,3,716
C3,3,718
BCL2L15,2,440603
C9ORF40,2,NA
BTN2A1,3,11120
BMP6,1,654
BTN3A2,1,11118
C2ORF69,1,NA
BCAN,3,63827
CA1,2,759
CA2,2,760
C19ORF12,3,NA
ANXA10,3,11199
CA13,1,377677
BRD2,4,6046
CABP2,1,51475
CACNB3,1,784
CACYBP,1,27101
CALCOCO1,1,57658
C1GALT1C1,4,29071
CALCOCO2,1,10241
CAMKK1,1,84254
CAMLG,1,819
ACTN2,3,88
CA3,2,761
C7ORF50,2,NA
CAMSAP1,1,157922
CAPG,2,822
CASC3,1,22794
CASP10,1,843
CANT1,3,124583
CASP2,1,835
CASP3,1,836
CASP7,1,840
CASP8,1,841
CARHSP1,2,23589
CA9,3,768
CA5A,3,763
CASP9,1,842
CAT,2,847
C1QTNF6,4,114904
CC2D1A,1,54862
CA12,3,771
CCL11,3,6356
ANG,3,283
CCL13,1,6357
CCDC134,1,79879
CCL14,3,6358
C1QTNF1,3,114897
CCDC80,3,151887
CCL17,1,6361
CCL18,3,6362
AGRP,3,181
CCL22,3,6367
ALPI,3,248
CCL23,3,6368
CCL3,3,6348
CCL28,1,56477
CCL4,1,6351
CCL5,1,6352
CCL7,3,6354
CCL27,3,10850
CCL26,1,10344
CCL8,1,6355
CCN1,3,3491
CCN2,1,1490
CCN3,3,4856
CCS,2,9973
BCAM,3,4059
ANGPTL3,3,27329
C2,3,717
ADGRG1,3,9289
CCN4,3,8840
CCT5,1,22948
CA14,3,23632
CD163,3,9332
CD164,1,8763
AMIGO2,3,347902
CD160,3,11126
CD226,1,10666
ACHE,3,43
CCL21,3,6366
CD244,3,51744
CD27,3,939
CD22,3,933
CD274,3,29126
CD28,3,940
CD300A,3,11314
CD300C,3,10871
CD300E,3,342510
CA4,3,762
CD200,3,4345
CD248,3,57124
CD300LG,3,146894
CD2AP,2,23607
CD302,3,9936
CACNA1C,4,775
CD38,3,952
CD36,1,948
CD40,1,958
CD14,3,929
CD40LG,1,959
CD4,3,920
CD46,3,4179
CD48,3,962
CD34,3,947
BOC,3,91653
CD109,3,135228
CD276,3,80381
CD55,3,1604
ACTA2,3,59
CCL15,3,6359
CCL16,3,6360
CCN5,3,8839
CD5,3,921
CD63,1,967
CD59,3,966
CD300LF,3,146722
CD72,3,971
CD74,3,972
CD79B,3,974
CD80,3,941
CD69,1,969
CD1C,3,911
CD83,3,9308
ADAMTS8,3,11095
CD58,3,965
CD84,1,8832
CD93,3,22918
CD99,3,4267
CD99L2,3,83692
CDC26,1,246184
CDC27,1,996
CDC37,1,11140
CCL25,3,6370
CDH1,3,999
CDAN1,4,146059
CDH17,3,1015
CDH3,3,1001
CDH5,3,1003
BPIFB2,3,80341
CBS,3,875
CDH2,3,1000
CDC42BPB,1,9578
CDH23,4,64072
CDK5RAP3,1,80279
CDKN1A,1,1026
CDKN2D,1,1032
CDSN,3,1041
ALPP,3,250
CEACAM5,3,1048
CEACAM6,3,4680
CCNE1,4,898
CDA,2,978
CEACAM8,2,1088
AMY2B,5,280
CELA2A,5,63036
CDNF,1,441549
CEP170,1,9859
CEP20,1,123811
CEP43,1,11116
CEP85,1,64793
CDHR2,3,54825
AGR3,3,155465
BMP4,3,652
CERT,1,NA
CETN2,1,1069
C5,3,727
C8B,3,732
CELSR2,3,1952
BCHE,3,590
BTD,3,686
CDHR5,3,53841
CES1,3,1066
CFB,3,629
CFD,3,1675
CFHR2,3,3080
CFH,3,3075
