protein,metabolite,r_F,p_F,q_F,r_M,p_M,q_M,abs_r_F,abs_r_M,p_diff,q_diff,r_diff,metabolite_label
TFF3,fid_23574,0.17150577816565812,1.0333621700464508e-37,1.5338799563309884e-36,-0.1082399410934054,1.455244619359854e-13,8.253483324234451e-13,0.17150577816565812,0.1082399410934054,1.9278313410603844e-45,1.4012075814542602e-39,-0.2797457192590635,Phospholipids in Small HDL
TFF3,fid_23577,0.1418714590485383,3.2192895419856124e-26,2.7810019694917216e-25,-0.1271762681549948,3.4972713885965845e-18,2.767775762897478e-17,0.1418714590485383,0.1271762681549948,4.8054302659625765e-42,1.7463678428199227e-36,-0.2690477272035331,Free Cholesterol in Small HDL
TFF3,fid_23573,0.15082082522117854,1.8778447761231477e-29,1.911376591522468e-28,-0.11658550216166028,1.654379161407264e-15,1.0847969798322024e-14,0.15082082522117854,0.11658550216166028,1.439739072490795e-41,3.488156632658524e-36,-0.2674063273828388,Total Lipids in Small HDL
APCS,fid_23647,-0.2803842788003767,2.8654433596225873e-100,2.946651192017324e-98,-0.02106896777753719,0.151392701956322,0.21719140835404305,0.2803842788003767,0.02106896777753719,5.875533748063671e-41,1.0676300174097168e-35,0.2593153110228395,Free Cholesterol to Total Lipids in Small HDL percentage
TFF3,fid_23437,0.1251194231813275,1.0449480272251459e-20,6.72201775050298e-20,-0.13916247042729868,1.7124130371974308e-21,1.688189892628443e-20,0.1251194231813275,0.13916247042729868,1.3002996041860339e-40,1.8901961232202785e-35,-0.2642818936086262,Phosphatidylcholines
TFF3,fid_23434,0.1174940278398891,1.977192195599588e-18,1.1200359923619477e-17,-0.1308614177937725,3.615307717532566e-19,3.0611096242421107e-18,0.1174940278398891,0.1308614177937725,5.100659768360496e-36,6.178862733495379e-31,-0.2483554456336616,Phosphoglycerides
TFF3,fid_23571,0.21517227415125367,7.66538563354271e-59,2.472898315762752e-57,-0.03077341614195617,0.03610977463547452,0.06041884273353479,0.21517227415125367,0.03077341614195617,6.103574429198131e-36,6.337524437069295e-31,-0.24594569029320984,Triglycerides in Medium HDL
TFF3,fid_23410,0.20746096316081145,9.742217104100175e-55,2.7487075035869083e-53,-0.02523762298932763,0.08569364261131447,0.13147824792090024,0.20746096316081145,0.02523762298932763,2.641418380092013e-32,2.3998309532758222e-27,-0.23269858615013908,Triglycerides in HDL
TFF3,fid_23567,0.1488883281564476,9.75523962578814e-29,9.576330104200672e-28,-0.08473025822119279,7.505114604978784e-9,2.8648141679365454e-8,0.1488883281564476,0.08473025822119279,4.315881527024691e-32,3.4854627624098704e-27,-0.2336185863776404,Phospholipids in Medium HDL
TFF3,fid_23436,0.09202136359888947,7.359566726326276e-12,2.796830063716265e-11,-0.13771572005975272,4.458464574088308e-21,4.2794229898700274e-20,0.09202136359888947,0.13771572005975272,4.749404225704393e-31,3.45201422277295e-26,-0.2297370836586422,Total Cholines
LEP,fid_23625,0.06324861994037982,2.560718292011544e-6,6.540473408468425e-6,-0.165072260850103,1.0863053464158447e-29,1.7190516029627147e-28,0.06324861994037982,0.165072260850103,8.272270706149248e-31,5.465947990564694e-26,-0.22832088079048285,Cholesterol to Total Lipids in Small LDL percentage
APOE,fid_23571,0.00609948757923008,0.6504663286025469,0.7209247665726302,0.231044178012045,3.0006817202638215e-57,1.4374141537079507e-55,0.00609948757923008,0.231044178012045,1.2709011334889668e-30,7.697752847957661e-26,0.2249446904328149,Triglycerides in Medium HDL
MFGE8,fid_23625,-0.08942068027882956,2.8119670330067685e-11,1.0269134739015719e-10,-0.3063357091784589,2.40401102249356e-101,4.64339552349194e-99,0.08942068027882956,0.3063357091784589,4.969346809694541e-30,2.778365623874687e-25,-0.21691502889962935,Cholesterol to Total Lipids in Small LDL percentage
LDLR,fid_23625,0.14890814206769895,9.592887291810503e-29,9.421408890081775e-28,-0.07428011487782904,4.0985636271353513e-7,1.3205911479286165e-6,0.14890814206769895,0.07428011487782904,1.9597611173569842e-29,1.0174393804926388e-24,-0.223188256945528,Cholesterol to Total Lipids in Small LDL percentage
APOE,fid_23578,-0.01728587016488526,0.19907037998181012,0.2681808167772434,0.20328541546989096,1.8747568500031745e-44,5.585699512378178e-43,0.01728587016488526,0.20328541546989096,3.452407467551087e-29,1.67287784803175e-24,0.22057128563477624,Triglycerides in Small HDL
APOE,fid_23410,0.0199158576222732,0.1389724874703874,0.19559414752333187,0.23837831213535232,6.248520901046024e-61,3.3989063725701114e-59,0.0199158576222732,0.23837831213535232,4.1140326584400054e-29,1.8688790444791294e-24,0.2184624545130791,Triglycerides in HDL
PZP,fid_23574,0.14029217228405944,1.141369750249606e-25,9.577046442516583e-25,-0.07966975778941528,5.5441331964340826e-8,1.948515940203563e-7,0.14029217228405944,0.07966975778941528,1.3241670297082916e-28,5.661444978646513e-24,-0.2199619300734747,Phospholipids in Small HDL
TFF3,fid_23566,0.12954946152681093,4.265274571262474e-22,2.958255832193286e-21,-0.08996335096807243,8.379938786216086e-10,3.487531442597397e-9,0.12954946152681093,0.08996335096807243,1.8265345414040602e-28,7.375455151462526e-24,-0.21951281249488336,Total Lipids in Medium HDL
TFF3,fid_23572,0.08598684771826207,1.558599546134195e-10,5.413596931616774e-10,-0.13319009799183634,8.330552360151443e-20,7.360690131876042e-19,0.08598684771826207,0.13319009799183634,2.163925747390243e-28,8.277938499481043e-24,-0.2191769457100984,Concentration of Small HDL Particles
TFF3,fid_23564,0.18382272252635545,3.700561757746501e-43,6.86496633862965e-42,-0.0337017703942347,0.02172049856778484,0.03798709237550682,0.18382272252635545,0.0337017703942347,2.9175812212504547e-28,1.0602942383113447e-23,-0.21752449292059012,Triglycerides in Large HDL
TFF3,fid_23427,0.07392533678845359,3.815446211748885e-8,1.1204378772212947e-7,-0.1407992873569699,5.729308082624295e-22,5.8211791587479024e-21,0.07392533678845359,0.1407992873569699,2.4517987494178492e-27,8.485920651610117e-23,-0.21472462414542348,Total Concentration of Lipoprotein Particles
TFF3,fid_23575,0.08070675045561204,1.910628069068001e-9,6.1622390698703144e-9,-0.1323377919584148,1.4299186064130857e-19,1.2445822951768872e-18,0.08070675045561204,0.1323377919584148,6.550647244943861e-27,2.159458180936616e-22,-0.21304454241402684,Cholesterol in Small HDL
