k,cancor,p_perm,q_perm,n_complete,p_proteins,p_metabolites,prot_min_cov,metab_min_cov,ridge_lambda,n_perms
1,0.8735548552264969,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
2,0.7660166658076633,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
3,0.6970692710492112,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
4,0.6722441085810167,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
5,0.6298937861837635,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
6,0.5999811206225197,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
7,0.5795175232417266,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
8,0.5481942688989093,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
9,0.5215563733555267,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
10,0.4926501561553335,0.004975124378109453,0.004975124378109453,10022,139,243,0.99,0.99,1e-4,200
