method,k,cancor,p_perm,q_perm,n_perms,lambda
ridge,1,0.9742723076252437,4.997501249375312e-4,4.997501249375312e-4,2000,1e-4
ridge,2,0.9567962133021739,4.997501249375312e-4,4.997501249375312e-4,2000,1e-4
ridge,3,0.9471625597915921,4.997501249375312e-4,4.997501249375312e-4,2000,1e-4
ridge,4,0.936895223381916,4.997501249375312e-4,4.997501249375312e-4,2000,1e-4
ridge,5,0.9186399696191863,4.997501249375312e-4,4.997501249375312e-4,2000,1e-4
classic,1,0.9756660417088178,4.997501249375312e-4,4.997501249375312e-4,2000,1e-8
classic,2,0.9592631877021134,4.997501249375312e-4,4.997501249375312e-4,2000,1e-8
classic,3,0.9499090562410154,4.997501249375312e-4,4.997501249375312e-4,2000,1e-8
classic,4,0.9396656754394884,4.997501249375312e-4,4.997501249375312e-4,2000,1e-8
classic,5,0.9239793648488642,4.997501249375312e-4,4.997501249375312e-4,2000,1e-8
