name,v_01,v_02,v_03,v_04,v_05
fid_23474,-0,-0,-0,-0,0
fid_23475,-0,-0,-0,-0,-0
fid_23476,-0,-0,-0,-0,0
fid_23477,-0,-0,-0,-0,-0
fid_23460,0,0,0,0,0
fid_23479,-0,-0,-0,-0,-0
fid_23440,-0,-0,-0,-0,-0
fid_23439,0,0,0,0,-0
fid_23441,0,0,0,0,0
fid_23433,-0,-0,-0.2560511109877988,-0,-0
fid_23432,-0,-0,-0,-0,-0
fid_23431,0,0.2597450486255995,0,-0,0.16441544901221852
fid_23484,0.07539610399080479,0,0,0.057416444789471784,0
fid_23526,-0,0,-0,0,-0
fid_23561,-0,-0,-0.32713395029925424,-0,-0.006667949009934284
fid_23533,0,0,-0,0,-0
fid_23498,0,0.15798538679793742,0,0,0
fid_23568,-0,-0,-0,-0,-0
fid_23540,0,0,0,0,0
fid_23505,0,0,0,0,-0
fid_23575,0,0,0,0,0
fid_23547,0,0,0,0,0
fid_23512,0,0,0,0.06578914187333917,0
fid_23554,-0,-0,-0.2649585626925789,-0,-0
fid_23491,0,0.2098555519732235,0,0,0.06412477652471589
fid_23519,0,0,-0,0,-0
fid_23580,-0,-0,-0,-0,0
fid_23610,-0,-0,-0,-0,-0
fid_23635,-0.16572825394663102,-0,-0,-0,-0.07930201670179851
fid_23615,-0,-0,-0.04490273233344675,-0,-0
fid_23590,-0,-0,-0,-0,-0
fid_23640,-0.11381662822402118,-0,-0,-0,-0
fid_23620,-0,-0,-0,-0,-0
fid_23595,-0,-0,-0.09595114824688941,-0,-0
fid_23645,-0,-0,-0,-0,-0
fid_23625,-0,-0,-0,0,-0
fid_23600,-0,-0,-0,-0,-0
fid_23630,0,0,0,0,0
fid_23585,-0,-0,-0.023516107625835912,-0.009156249747132462,-0
fid_23605,-0,-0,-0.18696887264780807,-0,-0
fid_23485,0.05199869445174376,0,0,0.2074778783507089,0.09666603795653363
fid_23418,-0,-0,-0.115006708861927,-0,-0
fid_23527,-0,0,-0,0,-0
fid_23417,0,0,0,0,-0
fid_23562,-0,-0,-0.3491112513190546,0,-0.024714465250230837
fid_23534,0,0,-0,0,-0
fid_23499,0,0,0,0.31532421330109484,0.0900057185313533
fid_23569,-0,-0,-0,-0,-0
fid_23541,0,0,0,0.031707320797991406,0
fid_23506,-0,0,-0,0,-0
fid_23576,0,0,0,0,0
fid_23548,0,0,0,0,0
fid_23513,0,0,0,0.13363700275563403,0
fid_23416,0,0,0,0.02253173989203894,0
fid_23555,-0,-0,-0.29581933528677984,-0,-0
fid_23492,0,0.04037738895918815,0,0.14398470142011432,0
fid_23520,0,0,-0,0,-0
fid_23581,-0,-0,-0,-0,0
fid_23611,-0,-0,-0,-0,-0
fid_23636,-0.24901587274138307,0,-0,0,-0.2301932526576388
fid_23616,0,0,-0,0,-0
fid_23591,-0,-0,-0,-0,-0
fid_23641,-0.0754479517326418,-0,-0,-0,-0
fid_23621,0,0,0,0.04644070114716064,0
fid_23596,-0,-0,-0.1424977844657702,-0,-0
fid_23646,-0,-0,-0,-0,-0
fid_23626,0,0,0,0.1408148728383576,0
fid_23601,-0,-0,-0,-0,0
fid_23631,-0,-0,-0,-0,-0
fid_23586,-0,-0,-0.005613431006647619,-0.060672394905420805,-0
fid_23606,-0,-0,-0.2280720390838305,-0,-0
fid_23473,0,0,0,0,0
fid_23404,0,0,-0,0,-0
fid_23481,0.09243216961953409,0,0,0,0
fid_23430,-0,-0,-0,0,-0
fid_23523,0,0,-0,0,-0
fid_23429,0,0,0,0,-0
fid_23558,-0,-0,-0.2583069184156085,-0,-0
fid_23530,0,0,0,0,-0
fid_23495,0.0469352249226221,0,0,0.24618325571406405,0.11366171238488286
fid_23565,-0,-0,-0,-0,-0
fid_23537,0,0,0,0,0
fid_23502,0,0,0,0.13164113120834883,0
fid_23572,0,0,0,0,0
fid_23544,0,0,0,0,0
fid_23509,0,0.044518168439032585,0,0.11430895150835534,0
fid_23428,0,0,0,0.30416932590199386,0.075506618713996207
fid_23551,-0,-0,-0.13833416803342638,-0,-0
fid_23488,0.16758947835314267,0,0,0,0.020614621564812655
fid_23516,0,0,0,0,0
fid_23478,0,0,0,0,0
fid_23443,-0,-0,-0,-0.0564524681297862,-0
fid_23450,-0,-0,-0,-0,-0
fid_23457,-0,-0,-0,-0,-0
fid_23486,0.06761967669043333,0,0,0.07857471655245847,0
fid_23422,-0,-0,-0,-0,-0
fid_23528,-0,-0,-0,0,-0
fid_23421,-0,0,-0,0,-0
fid_23563,-0,-0,-0.23561717595374226,-0,-0
fid_23535,-0,0,-0,0,-0
fid_23500,0.017197885761629377,0.1523701951447478,0,0,5.106679294031526e-4
fid_23570,-0,-0,-0,-0,-0
fid_23542,0,0,-0,0,-0
fid_23507,0,0,0,0,-0
fid_23577,0,0,0,0,0
fid_23549,-0,0,-0,0,-0
fid_23514,0,0,0,0,-0
fid_23420,0,0,0,0.33525588213422647,0.11834296766500062
fid_23556,-0,-0,-0.09283699313626109,-0,-0
fid_23493,0.011834575061800275,0.1974850731147822,0,0,0.0684337156275186
fid_23521,0,0,0,0,-0
fid_23582,-0,-0,-0,-0,-0
fid_23612,-0,-0,-0,-0,-0
fid_23637,-0,-0,-0,-0,-0
fid_23617,-0,-0.1718434965971868,-0,-0,-0.03437801498456735
fid_23592,0,0,0,0,0
fid_23642,-0,-0,-0.07932738498645442,-0,-0
fid_23622,-0.14419533997034517,-0,-0,-0,-0
fid_23597,-0,-0,-0,-0,-0
fid_23647,-0,-0,-0,-0,-0
fid_23627,-0,-0.0501892239506996,-0,-0,-0
fid_23602,-0,-0,-0.02130400940659483,-0,-0
fid_23632,0,0,0.022545704866505003,0,0
fid_23587,-0,-0,-0,-0,-0
fid_23607,-0,-0,-0,-0,-0
fid_23470,0,0,0,0,0
fid_23461,-0,-0,-0,-0,-0
fid_23462,-0,-0,-0,-0,0
fid_23480,0.09259845194910547,0,0,0,0.0479430549582116
fid_23406,-0,-0,-0.0858888521109065,-0,-0
fid_23463,-0,-0,-0,-0,-0
fid_23465,0,0,0,0,0
fid_23405,0,0,0,0,-0
fid_23471,0,0,0,0,0
fid_23466,0,0,0,0,0
fid_23449,0,0,0,0,-0
fid_23456,-0,-0,-0,-0,-0
fid_23447,0.09126993346880155,0,0,0.010238697383780132,0
fid_23454,0.3692995075170627,-0,-0,-0,0.4718112266479328
fid_23444,0,0,0,0,-0
fid_23451,-0,-0,-0,-0,-0
fid_23445,0,0,0,0,-0
fid_23459,-0,-0,0,-0,0
fid_23452,-0.12812774644916858,-0,-0,-0,-0
fid_23468,0,0,0,0,0
fid_23437,0,0,-0,0,-0
fid_23434,0,0,-0,0,-0
fid_23483,0.0981550674010147,0,0,0,0
fid_23414,-0,-0,-0,-0,-0
fid_23525,0,0,-0,0,-0
fid_23413,0,0,0,0,-0
fid_23560,-0,-0,-0.1612336228707386,-0,-0
fid_23532,0,0,-0,0,-0
fid_23497,0.09026396811394137,0,0,0,0
fid_23567,0,0,-0,0,-0
fid_23539,0,0,0,0,0
fid_23504,0,0,0,0.10187178989509049,0
fid_23574,0,0,0,0.033755706679947574,0
fid_23546,0,0,0,0,-0
fid_23511,0,0,0,0.15355615671430928,0
fid_23412,0,0.10814709653393748,0,0,0
fid_23553,-0,-0,-0.20230901092925693,-0,-0
fid_23490,0.08592525490828558,0,0,0.013017680886953707,0
fid_23518,0,0,0,0,0
fid_23579,0,0,0,0,0
fid_23609,0,-0,0,-0,-0
fid_23634,0,0,0.19861987220165261,0,0
fid_23614,-0,-0,-0,-0,0
fid_23589,0,0,0.012087821295104452,0.17397139656521107,0
fid_23639,0,0.0551397277427101,0.061819512911181596,0,0
fid_23619,-0,-0,-0,-0,-0
fid_23594,-0,-0,-0,-0,-0
fid_23644,0,0,-0,-0,-0
fid_23624,-0,-0,-0,-0.16724520262533563,-0
fid_23599,-0,-0,-0,-0,-0
fid_23629,-0,-0,-0,-0,-0
fid_23584,0,0,0,0,0
fid_23604,0,0,0,0,0
fid_23446,0,0,0,0,-0
fid_23458,-0.4189528300558806,0.20796149965559854,-0,-0,-0.20069041290719009
fid_23453,-0.27173664418929283,0,0,0,-0.2881873077935574
fid_23472,0,0,0,0,0
fid_23402,0,0,0,0,-0
fid_23448,0,0.08975925167316022,0,0,0
fid_23455,0,0,0,0,0
fid_23438,-0,0,-0,0,-0
fid_23400,0,0,-0,0,-0
fid_23401,0,0,0,0,-0
fid_23436,0,0,-0,0,-0
fid_23464,0,0,0,0,0
fid_23427,-0,0,-0,0,-0
fid_23415,0,0,-0,0,-0
fid_23442,0,0,0,0.3714692575633023,0.1731247535967017
fid_23419,0,0,-0,0,-0
fid_23482,0.028862872071321828,0.002330416139010465,0,0.2688366932935696,0.1295691844287827
fid_23426,-0,-0,-0,-0,-0
fid_23524,0,0,-0,0,-0
fid_23425,0,0,0,0,-0
fid_23559,-0,-0,-0.2313264572414752,-0,-0
fid_23531,0,0,-0,0,-0
fid_23496,0,0.2942789979057218,-0,-0,0.20936753827060314
fid_23423,0,0,0,0,-0
fid_23566,-0,-0,-0,-0,-0
fid_23538,0,0,0,0,0
fid_23503,0,0,0,0.2553779583286907,0
fid_23573,0,0,0,0.05988405981259227,0
fid_23545,0,0,0,0,0
fid_23510,0,0.019842197184789696,0,0.2566230019713187,0.05457197995721314
fid_23424,0,0.23895201572764263,-0,-0,0.10900222026838846
fid_23552,-0,-0,-0.20910400205672264,-0,-0
fid_23489,0.13915143422769755,0,0,0,0
fid_23517,0,0,0,0,0
fid_23411,0,0,-0,0,-0
fid_23407,0.16420438148209085,0,0,0,0.010646874189605396
fid_23487,0,0.238516114191372,0,-0,0.129269210623986
fid_23410,0,0.13926176769529963,0,0,0
fid_23529,0,0.13853290189391132,0,0,0
fid_23409,3.594124916465904e-4,0.31169882217055717,-0,-0,0.2743029081903044
fid_23564,0,0,0,0,0
fid_23536,0,0.22102454999060905,0,0,0.11441263273518376
fid_23501,0,0.2573371291803339,0,-0,0.1428539146366081
fid_23571,0,0.12549570542936697,0,0,0
fid_23543,0.08769211834482651,0,0,0.021453847660603848,0
fid_23508,0,0.24098692530613824,0,-0,0.10795547105990917
fid_23578,0.4088147814475673,-0.04501749387267968,-0,-0,0.41309104543171443
fid_23550,0.13920852195029393,0,0,0,0
fid_23515,0.0724521108061349,0,0,0.07632557091083549,0
fid_23408,0.11505082016111699,0,0,0,0
fid_23557,0,0,0,0.036426824150933276,0
fid_23494,0.1783713071023617,0,0,0,0.04309240488525126
fid_23522,0,0.2803047528330334,-0,-0,0.19955088742950694
fid_23435,0.21226871693915478,0,0,0,0.11907840441085964
fid_23583,0,0,0,0,-0
fid_23613,0,0,0.13065259293995335,0,0
fid_23638,0,0.22649168145201595,0,-0,0.1452543208479913
fid_23618,0,0,0.05547064490130198,0,0
fid_23593,-0,-0,-0,-0,-0
fid_23643,0.0885485194491494,0,0,0,0
fid_23623,0,0,0,0,0
fid_23598,0,0,0.026673353408710816,0,0
fid_23648,0.17339789543902034,0,0,0,0.06086358231163965
fid_23628,0,0.0033354867826522307,0.02757078331359579,0.06308254074286399,0
fid_23603,0,0,0,0,0
fid_23633,0,0.2051360846469514,0,0,0.10174283160827743
fid_23588,0,0,0,0,0
fid_23608,0,0,0.14728823564178806,0,0
fid_23469,0,0,0,0,0
fid_23403,0,0,0,0.16924537310069282,0
fid_23467,0,0,0,0,0
