name,u_01,u_02,u_03,u_04,u_05
AARSD1,0,0,0,0,0
ABHD14B,0,0,0,0,0
ABL1,0.0096508806157459,0.015489418779172454,0,0.026370306133062755,0.013842182728816073
ACAA1,0.03473551998652762,0.03535503202264353,0.009201614963762981,0.027364586897484756,0
ACAN,-0,-0,-0,0,-0
ACE2,0.06689033377910955,0.06454360718994068,0.013147144930760423,0.030451837700955116,0
ACOX1,0,0,0,0,0
ACP5,0,1.7294708910987677e-4,0,0.012827883271985646,0.037938484283040266
ACP6,0,0,-0,0,0
ACTA2,0,-0,0,-0,0
ACTN4,-0,-0,0,-0,-0
ACVRL1,0,0,0,0,0.03076734685000203
ACY1,0.12778196352124552,0.12516042952329506,0.08109390870178004,0.09322125974586772,-0.04871897418534208
ADA,0,0,0,0,0
ADA2,0,0,0,-0,0
ADAM15,-0,-0,-0,-0,-0
ADAM22,0,0,0,0,0
ADAM23,0,0,0,0,0
ADAM8,0,0,0.007069117646297155,0,0.0010299617509557954
ADAMTS13,0,0,0,0,0
ADAMTS15,0.08824558515004918,0.07180299709508015,0.06025736138826931,0.056694342776649705,-0
ADAMTS16,0,0,0,0,0
ADAMTS8,-0,-0,-0,-0,-0
ADCYAP1R1,-0,-0,-0,-0,-0
ADGRB3,-0,-0,-0,-0,-0
ADGRE2,0,0,0,0,0
ADGRE5,0,0,0,0,0
ADGRG1,0,0,0.02622944146131641,0,0
ADGRG2,-0,-0,-0.06696504436813806,-0,-0
ADH4,0.13977691858205077,0.14008817961060888,0.10603798719588588,0.11536169914863945,-0.09118447149545375
ADM,0.06036493735865494,0.032499403165585604,0.04735328054976744,0.003100577573268209,0
AFP,0,0,-0,0,0
AGER,0,0,-0,0,0
AGR2,0,0,0,0,0
AGR3,0.0643280849737904,0.07705480676977387,0,0.08211332737702173,-0
AGRN,0.060961952850119044,0.0532130157167689,0.08742880590838352,0.035613543583383034,0
AGRP,0.14943585961248942,0.1603184752449134,0.023837979344321962,0.16763948370673415,-0.1502784676489857
AGXT,0.01102795892053154,0.012556571391986193,0,0,0.02642208895890831
AHCY,0,0,0,0,0
AHSP,0,0,0,0,0
AIF1,0,0,0,0,0.006113477288321414
AIFM1,0.02185499887900734,0.01669428672021811,0.03331498290683408,0.00804984321687567,0.0032109444690551076
AK1,0,0,0,0,0
AKR1B1,0,0,0,0,0
AKR1C4,0,0,0,0,0
AKT1S1,0,0,0,0,0.029493558982872783
AKT3,0,0,0,0,0
ALCAM,0,0,0,0,0
