component,side,method,name,weight,abs_w,rank
5,proteins,ridge,KITLG,-0.3821347491652099,0.3821347491652099,1
5,proteins,ridge,TBCB,0.2637413879436178,0.2637413879436178,2
5,proteins,ridge,RWDD1,0.19768451768125547,0.19768451768125547,3
5,proteins,ridge,AXIN1,0.19000525576702054,0.19000525576702054,4
5,proteins,ridge,PLPBP,0.17710723726417885,0.17710723726417885,5
5,proteins,ridge,HEXIM1,-0.15876392535123748,0.15876392535123748,6
5,proteins,ridge,DIABLO,0.1559614197384094,0.1559614197384094,7
5,proteins,ridge,TGFBR2,-0.14363248165776038,0.14363248165776038,8
5,proteins,ridge,PLTP,0.14124631763188064,0.14124631763188064,9
5,proteins,ridge,SNAP23,-0.1386846117196331,0.1386846117196331,10
5,proteins,ridge,GP6,0.1347154120817683,0.1347154120817683,11
5,proteins,ridge,FYB1,0.1337835838627172,0.1337835838627172,12
5,proteins,ridge,SERPINB1,0.13279565462940676,0.13279565462940676,13
5,proteins,ridge,TNFRSF1A,0.1301568617601172,0.1301568617601172,14
5,proteins,ridge,DAPP1,-0.12834311531759102,0.12834311531759102,15
5,proteins,ridge,MGLL,0.12823077824357682,0.12823077824357682,16
5,proteins,ridge,IRAK4,-0.12445636758279105,0.12445636758279105,17
5,proteins,ridge,AK1,0.12394095293628922,0.12394095293628922,18
5,proteins,ridge,F11R,-0.12346211888038167,0.12346211888038167,19
5,proteins,ridge,CRKL,-0.1206390503521821,0.1206390503521821,20
5,proteins,ridge,GLOD4,-0.12020051207616719,0.12020051207616719,21
5,proteins,ridge,NCK2,0.11431836464353122,0.11431836464353122,22
5,proteins,ridge,YES1,-0.11296878735820666,0.11296878735820666,23
5,proteins,ridge,DNAJB1,0.11285773881516349,0.11285773881516349,24
5,proteins,ridge,CREG1,0.1115838359107167,0.1115838359107167,25
