component,side,method,name,weight,abs_w,rank
3,proteins,scca,PLTP,-0.2671979612744916,0.2671979612744916,1
3,proteins,scca,PON3,-0.22096889625393754,0.22096889625393754,2
3,proteins,scca,LDLR,0.21455525606776768,0.21455525606776768,3
3,proteins,scca,RTN4R,0.16663727571932857,0.16663727571932857,4
3,proteins,scca,IL1RN,0.16436771087227575,0.16436771087227575,5
3,proteins,scca,LEP,0.15535243838787738,0.15535243838787738,6
3,proteins,scca,INHBC,0.1446605551685526,0.1446605551685526,7
3,proteins,scca,ASGR1,0.14327166623120646,0.14327166623120646,8
3,proteins,scca,FURIN,0.14246730893329196,0.14246730893329196,9
3,proteins,scca,SSC4D,0.1391633972489257,0.1391633972489257,10
3,proteins,scca,SIT1,0.13872956766082936,0.13872956766082936,11
3,proteins,scca,RARRES2,0.1361391202838218,0.1361391202838218,12
3,proteins,scca,FABP4,0.13473600096510735,0.13473600096510735,13
3,proteins,scca,CPM,0.1296175100783875,0.1296175100783875,14
3,proteins,scca,IGFBP1,-0.12765165411842944,0.12765165411842944,15
3,proteins,scca,HGF,0.12599690050646514,0.12599690050646514,16
3,proteins,scca,NTRK3,-0.12321542008652649,0.12321542008652649,17
3,proteins,scca,CLUL1,-0.12281769962711755,0.12281769962711755,18
3,proteins,scca,IGFBP2,-0.12006182629427121,0.12006182629427121,19
3,proteins,scca,EPHA1,0.11803644835549718,0.11803644835549718,20
3,proteins,scca,PRSS8,0.11747113800864036,0.11747113800864036,21
3,proteins,scca,LGALS9,0.1148533617336161,0.1148533617336161,22
3,proteins,scca,F9,0.11426955765317341,0.11426955765317341,23
3,proteins,scca,CES1,0.11267254338123592,0.11267254338123592,24
3,proteins,scca,PLAT,0.11084660607581344,0.11084660607581344,25
