component,side,name,weight,abs_w,rank
6,metabolites,fid_23434,2.669097570702083,2.669097570702083,1
6,metabolites,fid_23571,-2.557704865987022,2.557704865987022,2
6,metabolites,fid_23493,2.3019849693101975,2.3019849693101975,3
6,metabolites,fid_23532,-2.2736361378599947,2.2736361378599947,4
6,metabolites,fid_23404,-2.139340315722939,2.139340315722939,5
6,metabolites,fid_23546,-1.8269993609983803,1.8269993609983803,6
6,metabolites,fid_23530,-1.8126352836825697,1.8126352836825697,7
6,metabolites,fid_23542,1.765926319348196,1.765926319348196,8
6,metabolites,fid_23553,-1.7313145872644569,1.7313145872644569,9
6,metabolites,fid_23576,-1.5201157418957807,1.5201157418957807,10
6,metabolites,fid_23437,-1.491650157013707,1.491650157013707,11
6,metabolites,fid_23562,-1.4367418678380877,1.4367418678380877,12
6,metabolites,fid_23413,-1.3589590571211898,1.3589590571211898,13
6,metabolites,fid_23429,-1.3552788325638725,1.3552788325638725,14
6,metabolites,fid_23574,1.3135732598200178,1.3135732598200178,15
6,metabolites,fid_23569,1.2445933201179729,1.2445933201179729,16
6,metabolites,fid_23527,1.2413326185559967,1.2413326185559967,17
6,metabolites,fid_23511,1.224906346082371,1.224906346082371,18
6,metabolites,fid_23439,-1.2105782758888928,1.2105782758888928,19
6,metabolites,fid_23575,-1.2027897889010823,1.2027897889010823,20
6,metabolites,fid_23499,-1.1671355377660821,1.1671355377660821,21
6,metabolites,fid_23522,-1.150648338020765,1.150648338020765,22
6,metabolites,fid_23518,1.1025495310396207,1.1025495310396207,23
6,metabolites,fid_23523,-1.0884789332659996,1.0884789332659996,24
6,metabolites,fid_23568,1.0817044076130702,1.0817044076130702,25
