protein,metabolite,metabolite_disp,r,q,Npair,weight,modP_louvain,modM_louvain,modP_walktrap,modM_walktrap,intra_louvain,intra_walktrap
LDLR,fid_23578,Triglycerides in Small HDL,0.7058326233989214,0,10338,0.7058326233989214,1,2,2,2,FALSE,TRUE
LDLR,fid_23497,Phospholipids in Large VLDL,0.6930284449519288,0,10338,0.6930284449519288,1,2,2,2,FALSE,TRUE
LDLR,fid_23500,Free Cholesterol in Large VLDL,0.6903289290522177,0,10338,0.6903289290522177,1,2,2,2,FALSE,TRUE
LDLR,fid_23491,Cholesterol in Very Large VLDL,0.6822661711759647,0,10338,0.6822661711759647,1,1,2,2,TRUE,TRUE
LDLR,fid_23493,Free Cholesterol in Very Large VLDL,0.6822569192800545,0,10338,0.6822569192800545,1,2,2,2,FALSE,TRUE
LDLR,fid_23488,Concentration of Very Large VLDL Particles,0.6812383382479927,0,10338,0.6812383382479927,1,2,2,2,FALSE,TRUE
LDLR,fid_23515,Triglycerides in Small VLDL,0.6800342010601482,0,10338,0.6800342010601482,1,2,2,2,FALSE,TRUE
LDLR,fid_23495,Concentration of Large VLDL Particles,0.6800175459700328,0,10338,0.6800175459700328,1,2,2,2,FALSE,TRUE
LDLR,fid_23490,Phospholipids in Very Large VLDL,0.6798017745910009,0,10338,0.6798017745910009,1,2,2,2,FALSE,TRUE
LDLR,fid_23498,Cholesterol in Large VLDL,0.6782400451148374,0,10338,0.6782400451148374,1,1,2,2,TRUE,TRUE
LDLR,fid_23485,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,0.675521164242017,0,10338,0.675521164242017,1,2,2,2,FALSE,TRUE
LDLR,fid_23424,Total Lipids in VLDL,0.6743981507398068,0,10338,0.6743981507398068,1,1,2,2,TRUE,TRUE
LDLR,fid_23407,Total Triglycerides,0.673612286773608,0,10338,0.673612286773608,1,2,2,2,FALSE,TRUE
LDLR,fid_23489,Total Lipids in Very Large VLDL,0.6723770597238578,0,10338,0.6723770597238578,1,2,2,2,FALSE,TRUE
LDLR,fid_23484,Cholesterol in Chylomicrons and Extremely Large VLDL,0.6654400198278645,0,10338,0.6654400198278645,1,2,2,2,FALSE,TRUE
LDLR,fid_23496,Total Lipids in Large VLDL,0.6647765050920977,0,10338,0.6647765050920977,1,2,2,2,FALSE,TRUE
LDLR,fid_23412,Phospholipids in VLDL,0.6644872505844606,0,10338,0.6644872505844606,1,1,2,2,TRUE,TRUE
LDLR,fid_23522,Triglycerides in Very Small VLDL,0.6621519689994276,0,10338,0.6621519689994276,1,2,2,2,FALSE,TRUE
LDLR,fid_23492,Cholesteryl Esters in Very Large VLDL,0.6618642812497672,0,10338,0.6618642812497672,1,1,2,2,TRUE,TRUE
LDLR,fid_23550,Triglycerides in Small LDL,0.6616890137097325,0,10338,0.6616890137097325,1,2,2,2,FALSE,TRUE
LDLR,fid_23509,Concentration of Small VLDL Particles,0.660260103866829,0,10338,0.660260103866829,1,1,2,2,TRUE,TRUE
LDLR,fid_23408,Triglycerides in VLDL,0.6601004799197199,0,10338,0.6601004799197199,1,2,2,2,FALSE,TRUE
LDLR,fid_23508,Triglycerides in Medium VLDL,0.6571778839017675,0,10338,0.6571778839017675,1,1,2,2,TRUE,TRUE
LDLR,fid_23510,Total Lipids in Small VLDL,0.6553732784399846,0,10338,0.6553732784399846,1,1,2,2,TRUE,TRUE
LDLR,fid_23648,Triglycerides to Total Lipids in Small HDL percentage,0.6553203508237844,0,10338,0.6553203508237844,1,6,2,2,FALSE,TRUE
LDLR,fid_23643,Triglycerides to Total Lipids in Medium HDL percentage,0.6528692046756133,0,10338,0.6528692046756133,1,6,2,2,FALSE,TRUE
LDLR,fid_23499,Cholesteryl Esters in Large VLDL,0.6481638166784595,0,10338,0.6481638166784595,1,1,2,2,TRUE,TRUE
