module,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
5,Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,32/308,216/9512,0.14814814814814814,4.575276575276575,9.72273850816013,3.5964150059550065e-13,1.053749596744817e-10,6.700689011095118e-11,4973/4318/959/3553/637/834/6352/929/4067/3929/3303/51135/9138/5534/598/208/836/840/5608/581/6714/10000/2921/4312/5330/3708/841/4790/6348/10451/3654/7124,32
5,Organismal Systems,Immune system,hsa04611,Platelet activation,21/308,126/9512,0.16666666666666666,5.147186147186147,8.572325847514191,5.21689948051042e-10,5.457515700745171e-8,3.4703800216701826e-8,2814/2243/51206/2149/2811/4659/4067/8773/8673/5321/9138/208/7408/6714/10000/5330/5592/3708/5501/2812/23365,21
5,Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,26/308,193/9512,0.13471502590673576,4.160419890989839,8.114073347586668,5.587900034892666e-10,5.457515700745171e-8,3.4703800216701826e-8,5473/5196/6352/58191/4067/6773/5604/1399/208/6362/6361/6777/6364/10344/6714/10000/2921/5330/6373/4790/56477/6348/10451/6374/6357/6356,26
5,Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,23/308,183/9512,0.12568306010928962,3.8814846355829964,7.199866613020776,2.2036917718913206e-8,1.3012391177249288e-6,8.274450290544725e-7,3553/637/6352/8772/51135/6773/598/208/836/5610/581/684/727/6714/10000/841/5501/4790/567/1978/3654/7124/57506,23
5,Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,15/308,78/9512,0.19230769230769232,5.939060939060939,8.012054486526598,2.2205445694964655e-8,1.3012391177249288e-6,8.274450290544725e-7,3553/710/717/834/929/725/51135/836/840/727/4790/6374/715/3654/7124,15
5,Organismal Systems,Immune system,hsa04620,Toll-like receptor signaling pathway,17/308,109/9512,0.1559633027522936,4.816632908376028,7.3309552019425555,6.697571782148724e-8,3.2706475536159603e-6,2.0797722902461825e-6,3553/6352/929/3929/8772/51135/6773/5604/208/5608/10000/841/6373/4790/6348/3654/7124,17
5,Cellular Processes,Cell growth and death,hsa04210,Apoptosis,19/308,137/9512,0.1386861313868613,4.283060005687743,7.080331797754186,7.869098058610873e-8,3.293779615961408e-6,2.094481738908458e-6,637/3002/1676/8772/5604/598/208/56616/836/840/27429/581/10000/835/3708/841/4790/843/7124,19
5,Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,16/308,100/9512,0.16,4.9412987012987015,7.247672072356442,1.1379255772472671e-7,4.167652426668116e-6,2.65016877858903e-6,5473/5196/6352/6362/6361/6364/10344/2921/3559/6373/56477/6348/6374/6357/6356/7124,16
5,Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,16/308,105/9512,0.1523809523809524,4.70599876314162,6.98512997566187,2.286283315195263e-7,7.309036157120508e-6,4.6477434877324585e-6,959/3553/27040/929/4067/3929/51135/598/2921/4790/10913/6357/10673/3654/7706/7124,16
5,Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,17/308,119/9512,0.14285714285714285,4.411873840445269,6.851165010948983,2.494551589460924e-7,7.309036157120508e-6,4.6477434877324585e-6,4318/3553/6352/8772/5604/208/836/840/6364/5608/10000/2921/841/4790/6374/843/7124,17
