name,type,module
LDLR,NA,1
PLA2G7,NA,1
SERPIND1,NA,2
PLTP,NA,3
CFI,NA,3
APCS,NA,1
RARRES2,NA,3
APOA1,NA,1
OLR1,NA,4
MFGE8,NA,3
IGSF9,NA,3
FGFBP1,NA,1
TNFSF14,NA,5
APOM,NA,1
ORM1,NA,3
PRAP1,NA,3
MXRA8,NA,3
CFB,NA,3
MAMDC4,NA,3
CES1,NA,3
APOC1,NA,1
F9,NA,3
NPY,NA,1
IGFBP6,NA,6
ADIPOQ,NA,3
FURIN,NA,3
PON3,NA,3
ASGR1,NA,3
AGRP,NA,1
CST3,NA,5
MMP8,NA,4
MMP9,NA,4
CCN1,NA,1
TGFA,NA,5
RELT,NA,5
FAM20A,NA,5
NPDC1,NA,5
ST6GAL1,NA,2
OSM,NA,5
CD40LG,NA,4
GP5,NA,4
IGFBP4,NA,5
CPM,NA,3
GHR,NA,1
SSC4D,NA,3
HSPG2,NA,5
LCAT,NA,1
CD38,NA,5
SIT1,NA,3
COL6A3,NA,5
ACY1,NA,3
SCARB2,NA,5
TNFRSF19,NA,6
HBEGF,NA,2
COLEC12,NA,3
FGA,NA,4
TAFA5,NA,6
IL1RN,NA,3
PRSS8,NA,3
SMOC1,NA,1
IL1B,NA,4
GCG,NA,3
HHEX,NA,1
SERPINF1,NA,3
PAMR1,NA,1
HGF,NA,5
F7,NA,1
LGALS9,NA,3
GUSB,NA,2
LEP,NA,3
PIK3IP1,NA,6
TTR,NA,1
TFPI,NA,1
RBP5,NA,2
RNASE4,NA,2
FGF21,NA,2
PAG1,NA,3
IGFBP1,NA,3
FABP4,NA,3
EFNA4,NA,5
COL18A1,NA,5
INHBC,NA,3
ADH4,NA,2
NHLRC3,NA,2
TNFRSF1A,NA,3
ERBB3,NA,1
TGFBR2,NA,5
RTN4R,NA,3
PROC,NA,1
CD4,NA,2
LPL,NA,2
AMBP,NA,5
NBL1,NA,6
BID,NA,4
EREG,NA,4
CD84,NA,4
SDC4,NA,4
BGN,NA,4
GPR37,NA,3
KITLG,NA,3
GOLM2,NA,5
IGFBP2,NA,3
PDGFB,NA,5
GFRA1,NA,5
JAM2,NA,6
UPB1,NA,5
RGMB,NA,6
SSC5D,NA,1
IL18R1,NA,5
MEGF9,NA,2
MAD1L1,NA,5
MENT,NA,3
ADM,NA,5
EGF,NA,4
SERPINE1,NA,2
XG,NA,6
OGN,NA,6
ANGPT1,NA,4
ADAMTS15,NA,2
RBP7,NA,4
SLC39A5,NA,2
CLMP,NA,5
PTH,NA,2
CD99L2,NA,1
OXT,NA,3
IL6,NA,5
DPY30,NA,5
P4HB,NA,2
AFM,NA,2
ITGA6,NA,4
CKB,NA,3
CCL27,NA,1
TNFRSF12A,NA,5
DAG1,NA,2
GSTA1,NA,2
SEMA3F,NA,5
FSTL3,NA,5
CDHR2,NA,2
PDGFA,NA,4
PLAT,NA,2
TMSB10,NA,5
VWA1,NA,2
APP,NA,4
A1BG,NA,5
EFNA1,NA,5
STAB2,NA,2
NOMO1,NA,2
LAMP2,NA,2
FTCD,NA,2
APOF,NA,3
TMPRSS15,NA,3
ITIH4,NA,4
LAYN,NA,6
ACVRL1,NA,5
PLA2G10,NA,1
CFHR5,NA,4
SERPING1,NA,4
SEMA4D,NA,4
ACE2,NA,2
PPY,NA,3
PYY,NA,3
SCARF1,NA,4
SKAP1,NA,5
LY6D,NA,6
VEGFC,NA,2
APOA2,NA,3
CDNF,NA,6
LILRA5,NA,4
TREML1,NA,4
HS6ST1,NA,2
FAM3C,NA,5
FCAMR,NA,3
VMO1,NA,2
DKK1,NA,2
BDNF,NA,4
SMOC2,NA,6
SELP,NA,2
CD300LG,NA,3
CLUL1,NA,3
AGRN,NA,5
CFP,NA,1
CRIP2,NA,5
F10,NA,1
SHBG,NA,3
CCN2,NA,2
GSTA3,NA,2
CCL23,NA,2
GGT1,NA,2
CNTN3,NA,2
CREG1,NA,2
CD63,NA,5
ANGPTL4,NA,6
BAIAP2,NA,5
FGFR2,NA,2
BTN2A1,NA,6
PTGDS,NA,3
HSPB6,NA,6
PRCP,NA,5
MVK,NA,3
CA14,NA,3
CD302,NA,5
CCL22,NA,2
SERPINA5,NA,1
NPPC,NA,2
IL16,NA,2
EPHA1,NA,3
SERPINE2,NA,4
GPD1,NA,2
NECTIN4,NA,6
NTRK3,NA,3
CRELD1,NA,5
KRT18,NA,5
SUSD1,NA,4
CLEC4A,NA,3
BCHE,NA,1
IGSF8,NA,2
GLA,NA,2
SERPINA3,NA,4
PCSK9,NA,2
PROS1,NA,1
CKAP4,NA,6
CPB2,NA,1
NOS3,NA,5
C2,NA,4
SCLY,NA,2
C1RL,NA,3
C9,NA,2
GGH,NA,3
ADAMTSL2,NA,3
RAB6A,NA,1
SMAD1,NA,2
IGSF3,NA,5
CCL16,NA,5
KYNU,NA,2
SORT1,NA,2
MME,NA,2
EDA2R,NA,6
LGALS4,NA,3
CRHBP,NA,5
TNFRSF10A,NA,3
SCG2,NA,3
PCBD1,NA,2
AIFM1,NA,5
LGALS1,NA,5
PPBP,NA,4
ANXA3,NA,4
TNFRSF11A,NA,3
CPXM1,NA,4
FABP5,NA,5
GYS1,NA,4
CDHR5,NA,3
GZMB,NA,4
HSD11B1,NA,3
DEFB4A_DEFB4B,NA,2
SIAE,NA,2
TRIAP1,NA,4
ITGA5,NA,2
VWC2,NA,6
ART3,NA,6
SUMF2,NA,2
CANT1,NA,2
PF4,NA,4
NAGPA,NA,2
NID2,NA,4
RSPO3,NA,6
PLG,NA,1
LAT,NA,4
CDH2,NA,5
ERBB2,NA,2
GDF15,NA,3
CLEC1B,NA,2
HCLS1,NA,4
TNFRSF14,NA,5
BPIFB2,NA,3
C1S,NA,1
LILRB4,NA,5
NUCB2,NA,2
CHMP6,NA,2
VSIG4,NA,3
IFI30,NA,3
TGFB1,NA,2
NPC2,NA,5
CDKN1A,NA,2
GP6,NA,4
F2R,NA,4
EPHB4,NA,6
DPT,NA,3
MFAP5,NA,5
THY1,NA,3
CTSO,NA,5
RIDA,NA,2
CD5,NA,3
ANGPTL2,NA,2
ADH1B,NA,2
CD226,NA,4
LTBR,NA,5
TNFSF10,NA,1
CD72,NA,3
SCARA5,NA,6
PLA2G15,NA,5
SPARC,NA,4
KLKB1,NA,1
HPSE,NA,5
CLEC4D,NA,5
LRP11,NA,5
KHK,NA,2
SELE,NA,5
CD300E,NA,5
CHI3L1,NA,3
FGFBP2,NA,1
GUCA2A,NA,6
CLEC14A,NA,6
HJV,NA,2
F11R,NA,2
MRC1,NA,6
LAIR1,NA,3
DLL1,NA,6
STX7,NA,4
TIMP3,NA,5
PALM2,NA,5
MB,NA,6
CCL7,NA,5
BSG,NA,6
APLP1,NA,5
DBI,NA,4
FETUB,NA,5
SORCS2,NA,6
DNAJB1,NA,2
EGLN1,NA,5
IL10RB,NA,5
HLA_E,NA,6
TCTN3,NA,2
USP8,NA,4
NRP1,NA,2
AGR3,NA,2
IFNGR1,NA,6
DSG2,NA,2
LEPR,NA,3
SPINK1,NA,6
EPHB6,NA,6
ERP44,NA,2
SERPINA4,NA,2
TOMM20,NA,5
ERMAP,NA,5
ADGRD1,NA,2
S100A11,NA,4
EFCAB14,NA,2
NOTCH3,NA,3
SNAP29,NA,2
VEGFA,NA,5
BPIFB1,NA,3
LATS1,NA,2
MZB1,NA,6
TIMP1,NA,5
VSIR,NA,5
ITGAV,NA,3
STC1,NA,5
PGF,NA,5
FUOM,NA,5
TNFRSF6B,NA,5
CD40,NA,5
ARSB,NA,4
MPI,NA,4
LBR,NA,5
VPS37A,NA,2
SORD,NA,2
MCEMP1,NA,4
FIS1,NA,1
CTSF,NA,3
IL32,NA,3
RET,NA,2
LSP1,NA,5
FLI1,NA,2
TNFRSF10B,NA,5
SERPINA6,NA,3
OCLN,NA,5
CHRDL1,NA,6
DTX3,NA,6
PTS,NA,5
GIP,NA,3
CSF1,NA,3
TNFAIP8L2,NA,4
PSRC1,NA,2
CASP1,NA,4
NPL,NA,2
ADAM22,NA,6
MYDGF,NA,5
ADGRG1,NA,3
ENO3,NA,2
GRPEL1,NA,5
TXNDC5,NA,4
YTHDF3,NA,2
CEACAM8,NA,5
LGALS3BP,NA,3
THBD,NA,6
CRELD2,NA,2
CCL5,NA,4
GMFG,NA,4
RNASE6,NA,3
LAT2,NA,2
MTDH,NA,5
DPEP2,NA,4
GP1BA,NA,4
PON1,NA,3
EZR,NA,2
GCC1,NA,2
LRCH4,NA,5
EEF1D,NA,2
PTPRB,NA,2
FYB1,NA,2
SYAP1,NA,1
IL13RA1,NA,2
LRIG1,NA,4
SERPINB6,NA,4
IL17RB,NA,3
CLEC4G,NA,4
MPIG6B,NA,4
ICAM1,NA,5
ANG,NA,5
CA5A,NA,5
ANXA4,NA,4
SERPINF2,NA,1
MSRA,NA,4
TBCC,NA,4
NECTIN2,NA,5
NUMB,NA,2
CA6,NA,3
PPP1R12A,NA,4
LGALS8,NA,4
TNFRSF1B,NA,3
DCXR,NA,2
IGF2R,NA,2
VTA1,NA,4
YES1,NA,2
IPCEF1,NA,2
NT5C1A,NA,2
CDH3,NA,6
ESAM,NA,6
PLAUR,NA,5
POLR2F,NA,5
AK2,NA,4
CD74,NA,5
ATRN,NA,2
SCPEP1,NA,5
CNDP1,NA,1
SNCA,NA,2
MESD,NA,4
NRGN,NA,4
SPINT2,NA,4
CMC1,NA,4
ECHS1,NA,4
CD14,NA,4
CTSZ,NA,5
DNAJB14,NA,4
SIGLEC7,NA,5
ULBP2,NA,5
CXCL16,NA,4
DDAH1,NA,2
PDAP1,NA,4
SERPINB1,NA,4
PLXNB3,NA,4
LYN,NA,4
HEG1,NA,2
NUDT5,NA,4
ABL1,NA,2
DNAJA2,NA,4
GRHPR,NA,5
FGFBP3,NA,1
PLIN1,NA,2
HAVCR2,NA,3
HAO1,NA,2
CEP20,NA,2
LECT2,NA,2
CCN5,NA,6
SCAMP3,NA,4
NUDT16,NA,4
PPIB,NA,4
COL4A1,NA,1
DFFA,NA,4
KDR,NA,2
NCS1,NA,2
ITGA11,NA,3
CNPY4,NA,4
TXLNA,NA,2
