protein_metabolite_from,protein_metabolite_to,r,q,abs_r,sign
LDLR,fid_23578,0.7058326233989214,0,0.7058326233989214,+
LDLR,fid_23497,0.6930284449519288,0,0.6930284449519288,+
LDLR,fid_23500,0.6903289290522177,0,0.6903289290522177,+
LDLR,fid_23491,0.6822661711759647,0,0.6822661711759647,+
LDLR,fid_23493,0.6822569192800545,0,0.6822569192800545,+
LDLR,fid_23488,0.6812383382479927,0,0.6812383382479927,+
LDLR,fid_23515,0.6800342010601482,0,0.6800342010601482,+
LDLR,fid_23495,0.6800175459700328,0,0.6800175459700328,+
LDLR,fid_23490,0.6798017745910009,0,0.6798017745910009,+
LDLR,fid_23498,0.6782400451148374,0,0.6782400451148374,+
LDLR,fid_23485,0.675521164242017,0,0.675521164242017,+
LDLR,fid_23424,0.6743981507398068,0,0.6743981507398068,+
LDLR,fid_23407,0.673612286773608,0,0.673612286773608,+
LDLR,fid_23489,0.6723770597238578,0,0.6723770597238578,+
LDLR,fid_23484,0.6654400198278645,0,0.6654400198278645,+
LDLR,fid_23496,0.6647765050920977,0,0.6647765050920977,+
LDLR,fid_23412,0.6644872505844606,0,0.6644872505844606,+
LDLR,fid_23522,0.6621519689994276,0,0.6621519689994276,+
LDLR,fid_23492,0.6618642812497672,0,0.6618642812497672,+
LDLR,fid_23550,0.6616890137097325,0,0.6616890137097325,+
LDLR,fid_23509,0.660260103866829,0,0.660260103866829,+
LDLR,fid_23408,0.6601004799197199,0,0.6601004799197199,+
LDLR,fid_23508,0.6571778839017675,0,0.6571778839017675,+
LDLR,fid_23510,0.6553732784399846,0,0.6553732784399846,+
LDLR,fid_23648,0.6553203508237844,0,0.6553203508237844,+
LDLR,fid_23643,0.6528692046756133,0,0.6528692046756133,+
LDLR,fid_23499,0.6481638166784595,0,0.6481638166784595,+
LDLR,fid_23494,0.647431370707734,0,0.647431370707734,+
LDLR,fid_23486,0.644912311196483,0,0.644912311196483,+
LDLR,fid_23543,0.6447803920504391,0,0.6447803920504391,+
LDLR,fid_23435,0.6423989663427072,0,0.6423989663427072,+
LDLR,fid_23483,0.6348967286500845,0,0.6348967286500845,+
