name,type,display_label,degree,strength,module_louvain,module_walktrap
LDLR,protein,LDLR,184,84.16997989565036,1,3
PLA2G7,protein,PLA2G7,113,51.82122079496819,1,3
SERPIND1,protein,SERPIND1,25,7.788987298455414,2,3
PLTP,protein,PLTP,63,25.356000448888466,3,3
CFI,protein,CFI,44,14.30451752503462,3,3
APCS,protein,APCS,83,25.04032691856201,1,3
RARRES2,protein,RARRES2,93,31.57647668847914,4,3
APOA1,protein,APOA1,56,20.700080182376727,3,3
OLR1,protein,OLR1,2,0.8420790457350603,5,2
MFGE8,protein,MFGE8,116,44.6110423204365,4,3
IGSF9,protein,IGSF9,120,43.33063292948073,4,3
FGFBP1,protein,FGFBP1,100,39.457636271058654,1,3
TNFSF14,protein,TNFSF14,8,2.1241756762990827,6,3
APOM,protein,APOM,103,36.38433340821965,1,3
ORM1,protein,ORM1,25,5.58202906983518,3,3
PRAP1,protein,PRAP1,118,42.66118016147555,4,3
MXRA8,protein,MXRA8,65,22.915834331289116,3,3
CFB,protein,CFB,22,5.459653421882388,3,3
MAMDC4,protein,MAMDC4,44,13.932985221556978,4,3
CES1,protein,CES1,102,35.12097555665145,4,3
APOC1,protein,APOC1,94,30.11617945554562,1,3
F9,protein,F9,26,8.538009021240962,3,3
NPY,protein,NPY,119,41.503545143970776,1,3
IGFBP6,protein,IGFBP6,1,0.45998067128376513,6,1
ADIPOQ,protein,ADIPOQ,87,28.806787802392314,3,3
FURIN,protein,FURIN,104,35.51797779448148,4,3
PON3,protein,PON3,88,29.106158935593875,4,3
ASGR1,protein,ASGR1,79,25.72784325815568,4,3
AGRP,protein,AGRP,104,37.62684725954536,1,3
CST3,protein,CST3,25,6.714882209891269,6,3
MMP8,protein,MMP8,2,0.7412465465261062,5,2
MMP9,protein,MMP9,2,0.7193406132685807,5,2
CCN1,protein,CCN1,102,35.50371999118017,1,3
TGFA,protein,TGFA,18,4.282033574235021,6,3
RELT,protein,RELT,21,4.957488764778441,6,3
FAM20A,protein,FAM20A,26,7.996157299374431,2,3
NPDC1,protein,NPDC1,5,1.353062959228305,6,3
ST6GAL1,protein,ST6GAL1,15,3.5004812916264596,2,3
OSM,protein,OSM,6,1.596835851283818,6,3
CD40LG,protein,CD40LG,2,0.6728710288632969,5,2
GP5,protein,GP5,2,0.6638028587856084,5,2
IGFBP4,protein,IGFBP4,25,6.56625470499704,4,3
CPM,protein,CPM,69,22.582160941123863,4,3
GHR,protein,GHR,108,35.454462760856934,1,3
SSC4D,protein,SSC4D,41,13.659697735083274,3,3
HSPG2,protein,HSPG2,5,1.255829386307298,6,3
LCAT,protein,LCAT,104,33.463058498649865,1,3
CD38,protein,CD38,25,6.748104213762003,6,3
SIT1,protein,SIT1,37,12.261424506577482,3,3
COL6A3,protein,COL6A3,25,6.04904554670807,6,3
ACY1,protein,ACY1,57,18.029949247957457,4,3
SCARB2,protein,SCARB2,25,5.777471108203914,6,3
TNFRSF19,protein,TNFRSF19,1,0.4108243516457072,6,1
HBEGF,protein,HBEGF,16,3.5753597505252834,2,3
COLEC12,protein,COLEC12,25,5.777505472073839,3,3
FGA,protein,FGA,1,0.4067695668927817,5,3
TAFA5,protein,TAFA5,1,0.40542097417713424,6,1
IL1RN,protein,IL1RN,57,18.359696310625825,3,3
PRSS8,protein,PRSS8,45,14.336738829293074,4,3
SMOC1,protein,SMOC1,53,16.763208653129638,1,3
IL1B,protein,IL1B,2,0.678812536201838,5,2
GCG,protein,GCG,66,22.215454249533657,4,3
HHEX,protein,HHEX,76,24.972254807393483,1,3
SERPINF1,protein,SERPINF1,36,11.755503577371927,3,3
PAMR1,protein,PAMR1,38,10.454786568873278,1,3
HGF,protein,HGF,32,9.789313711994101,6,3
F7,protein,F7,92,27.393168443045063,1,3
LGALS9,protein,LGALS9,27,8.109823923975103,3,3
GUSB,protein,GUSB,29,9.56555907194499,2,3
LEP,protein,LEP,45,14.495050257518297,4,3
PIK3IP1,protein,PIK3IP1,2,0.5951639457659523,6,1
TTR,protein,TTR,55,14.5869716384939,1,3
TFPI,protein,TFPI,73,24.947384745787755,1,3
RBP5,protein,RBP5,31,10.027628746480707,2,3
RNASE4,protein,RNASE4,25,6.417235248247699,2,3
FGF21,protein,FGF21,29,8.931727049796311,2,3
PAG1,protein,PAG1,33,10.711511324778977,3,3
