name,type,degree,strength,module_louvain,module_walktrap
LDLR,protein,184,84.16997989565036,1,2
PLA2G7,protein,113,51.82122079496819,1,2
SERPIND1,protein,25,7.788987298455414,2,2
PLTP,protein,63,25.356000448888466,3,2
CFI,protein,44,14.30451752503462,3,2
APCS,protein,83,25.04032691856201,1,2
RARRES2,protein,93,31.57647668847914,4,2
APOA1,protein,56,20.700080182376727,3,2
OLR1,protein,2,0.8420790457350603,5,1
MFGE8,protein,116,44.6110423204365,4,2
IGSF9,protein,120,43.33063292948073,4,2
FGFBP1,protein,100,39.457636271058654,1,2
TNFSF14,protein,8,2.1241756762990827,5,1
APOM,protein,103,36.38433340821965,1,2
ORM1,protein,25,5.58202906983518,3,2
PRAP1,protein,118,42.66118016147555,4,2
MXRA8,protein,65,22.915834331289116,3,2
CFB,protein,22,5.459653421882388,3,2
MAMDC4,protein,44,13.932985221556978,4,2
CES1,protein,102,35.12097555665145,4,2
APOC1,protein,94,30.11617945554562,1,2
F9,protein,26,8.538009021240962,3,2
NPY,protein,119,41.503545143970776,1,2
IGFBP6,protein,1,0.45998067128376513,6,4
ADIPOQ,protein,87,28.806787802392314,3,2
FURIN,protein,104,35.51797779448148,4,2
PON3,protein,88,29.106158935593875,4,2
ASGR1,protein,79,25.72784325815568,4,2
AGRP,protein,104,37.62684725954536,1,2
CST3,protein,25,6.714882209891269,6,2
MMP8,protein,2,0.7412465465261062,5,1
MMP9,protein,2,0.7193406132685807,5,1
CCN1,protein,102,35.50371999118017,1,2
TGFA,protein,18,4.282033574235021,6,2
RELT,protein,21,4.957488764778441,6,2
FAM20A,protein,26,7.996157299374431,6,2
NPDC1,protein,5,1.353062959228305,6,4
ST6GAL1,protein,15,3.5004812916264596,2,2
OSM,protein,6,1.596835851283818,5,1
CD40LG,protein,2,0.6728710288632969,5,1
GP5,protein,2,0.6638028587856084,5,1
IGFBP4,protein,25,6.56625470499704,4,2
CPM,protein,69,22.582160941123863,4,2
GHR,protein,108,35.454462760856934,1,2
SSC4D,protein,41,13.659697735083274,3,2
HSPG2,protein,5,1.255829386307298,6,4
LCAT,protein,104,33.463058498649865,1,2
CD38,protein,25,6.748104213762003,6,2
SIT1,protein,37,12.261424506577482,3,2
COL6A3,protein,25,6.04904554670807,6,2
ACY1,protein,57,18.029949247957457,4,2
SCARB2,protein,25,5.777471108203914,6,2
TNFRSF19,protein,1,0.4108243516457072,6,4
HBEGF,protein,16,3.5753597505252834,2,2
COLEC12,protein,25,5.777505472073839,3,2
FGA,protein,1,0.4067695668927817,5,2
TAFA5,protein,1,0.40542097417713424,6,4
IL1RN,protein,57,18.359696310625825,3,2
PRSS8,protein,45,14.336738829293074,4,2
SMOC1,protein,53,16.763208653129638,1,2
IL1B,protein,2,0.678812536201838,5,1
GCG,protein,66,22.215454249533657,4,2
HHEX,protein,76,24.972254807393483,2,2
SERPINF1,protein,36,11.755503577371927,3,2
PAMR1,protein,38,10.454786568873278,1,2
HGF,protein,32,9.789313711994101,6,2
F7,protein,92,27.393168443045063,1,2
LGALS9,protein,27,8.109823923975103,3,2
GUSB,protein,29,9.56555907194499,2,2
LEP,protein,45,14.495050257518297,3,2
PIK3IP1,protein,2,0.5951639457659523,6,4
TTR,protein,55,14.5869716384939,1,2
TFPI,protein,73,24.947384745787755,1,2
RBP5,protein,31,10.027628746480707,2,2
RNASE4,protein,25,6.417235248247699,2,2
FGF21,protein,29,8.931727049796311,2,2
PAG1,protein,33,10.711511324778977,3,2
IGFBP1,protein,56,16.920830651606956,4,2
FABP4,protein,29,9.146456667077041,3,2
EFNA4,protein,25,5.793568424019609,6,2
COL18A1,protein,25,6.79959208761011,6,2
INHBC,protein,45,14.54690395795384,3,2
ADH4,protein,52,17.221117637244497,2,2
NHLRC3,protein,26,7.784595347647706,2,2
TNFRSF1A,protein,27,6.786072111129845,3,2
ERBB3,protein,71,19.016855634887285,1,2
TGFBR2,protein,8,1.917183833580061,6,2
RTN4R,protein,34,10.873058448503954,3,2
PROC,protein,89,26.584272384877654,1,2
CD4,protein,33,10.69528305354367,2,2
LPL,protein,47,15.49362947971257,2,2
AMBP,protein,25,6.988286292163209,6,2
NBL1,protein,1,0.3745469968206054,6,4
BID,protein,6,1.477742764039017,5,1
EREG,protein,2,0.5964476360615406,5,1
CD84,protein,1,0.37334884757381936,5,1
SDC4,protein,1,0.3731444435771714,5,1
