"feature","p_sex","p_age","q_sex","q_age","dataset"
"fid_23474",7.81958900023162e-05,8.01383009530949e-05,0.00041052842251216,0.000420726080003748,"metabolome"
"fid_23475",0.55139931514086,0.519620747185878,0.771959041197203,0.654722141454206,"metabolome"
"fid_23476",0.974020393175482,0.915978452382592,0.998819251677714,0.930752298388763,"metabolome"
"fid_23477",0.974020393175482,0.915978452382592,0.998819251677714,0.930752298388763,"metabolome"
"fid_23460",0.974020393175482,0.915978452382592,0.998819251677714,0.930752298388763,"metabolome"
"fid_23479",0.901705601564846,0.91597845237324,0.998819251677714,0.930752298388763,"metabolome"
"fid_23580",8.33998626656036e-18,2.54751843822476e-20,1.05083826958661e-16,3.20987323216319e-19,"metabolome"
"fid_23590",0.998819251677714,0.26495821346394,0.998819251677714,0.388194591819261,"metabolome"
"fid_23630",0.304599521438061,0.314436398837723,0.446273717455764,0.412697773474512,"metabolome"
"fid_23585",6.79280569195287e-08,3.75415152826907e-09,3.89042507811846e-07,2.15010496619047e-08,"metabolome"
"fid_23581",8.33998626656036e-18,2.54751843822476e-20,1.05083826958661e-16,3.20987323216319e-19,"metabolome"
"fid_23591",0.998819251677714,0.26495821346394,0.998819251677714,0.388194591819261,"metabolome"
"fid_23631",0.304599521438061,0.314436398837723,0.446273717455764,0.412697773474512,"metabolome"
"fid_23586",6.79280569195287e-08,3.75415152826907e-09,3.89042507811846e-07,2.15010496619047e-08,"metabolome"
"fid_23473",0.596018897799022,0.648909487747093,0.816286751333443,0.80159407309935,"metabolome"
"fid_23478",1.3960472720706e-11,1.59672185626226e-12,1.46584963567413e-10,1.67655794907538e-11,"metabolome"
"fid_23443",0.117071418318841,0.082392754699444,0.210728552973913,0.148306958458999,"metabolome"
"fid_23450",0.117071418318841,0.082392754699444,0.210728552973913,0.148306958458999,"metabolome"
"fid_23457",0.117071418318841,0.082392754699444,0.210728552973913,0.148306958458999,"metabolome"
"fid_23582",8.33998626656036e-18,2.54751843822476e-20,1.05083826958661e-16,3.20987323216319e-19,"metabolome"
"fid_23592",0.998819251677714,0.26495821346394,0.998819251677714,0.388194591819261,"metabolome"
"fid_23632",0.304599521438061,0.314436398837723,0.446273717455764,0.412697773474512,"metabolome"
"fid_23587",6.79280569195287e-08,3.75415152826907e-09,3.89042507811846e-07,2.15010496619047e-08,"metabolome"
"fid_23470",0.266717978131534,0.257483695047495,0.442190332165439,0.388194591819261,"metabolome"
"fid_23461",0.682073761816153,0.694061898117657,0.895221812383701,0.825016973234197,"metabolome"
"fid_23462",0.168827455085875,0.154749609999554,0.287462964065138,0.27081181749922,"metabolome"
"fid_23463",0.994482531105599,0.99006808298439,0.998819251677714,0.99006808298439,"metabolome"
"fid_23465",0.974020393175482,0.915978452382592,0.998819251677714,0.930752298388763,"metabolome"
"fid_23471",0.167967485454087,0.169271946846841,0.287462964065138,0.288219801387864,"metabolome"
"fid_23466",0.974020393175482,0.915978452382592,0.998819251677714,0.930752298388763,"metabolome"
"fid_23449",0.117071418318841,0.082392754699444,0.210728552973913,0.148306958458999,"metabolome"
