metabolite,q_value,score
Glycoprotein Acetyls,2.9606260203039985e-8,7.528616448259462
Total Phospholipids in Lipoprotein Particles,3.6205318324116305e-8,7.441227629766086
Total Lipids in Lipoprotein Particles,3.6205318324116305e-8,7.441227629766086
Phosphoglycerides,3.6205318324116305e-8,7.441227629766086
Polyunsaturated Fatty Acids,3.6205318324116305e-8,7.441227629766086
Omega-6 Fatty Acids to Total Fatty Acids percentage,3.6205318324116305e-8,7.441227629766086
Saturated Fatty Acids to Total Fatty Acids percentage,3.6205318324116305e-8,7.441227629766086
Linoleic Acid to Total Fatty Acids percentage,3.6205318324116305e-8,7.441227629766086
Valine,3.6205318324116305e-8,7.441227629766086
Creatinine,3.6205318324116305e-8,7.441227629766086
Cholesteryl Esters in Medium LDL,3.6205318324116305e-8,7.441227629766086
Total Lipids in Very Large HDL,3.6205318324116305e-8,7.441227629766086
Phospholipids in Very Large HDL,3.6205318324116305e-8,7.441227629766086
Cholesterol in Very Large HDL,3.6205318324116305e-8,7.441227629766086
Free Cholesterol in Very Large HDL,3.6205318324116305e-8,7.441227629766086
Concentration of Small HDL Particles,3.6205318324116305e-8,7.441227629766086
Total Lipids in Small HDL,3.6205318324116305e-8,7.441227629766086
Phospholipids in Small HDL,3.6205318324116305e-8,7.441227629766086
Cholesterol in Small HDL,3.6205318324116305e-8,7.441227629766086
Cholesteryl Esters in Small HDL,3.6205318324116305e-8,7.441227629766086
Free Cholesterol in Small HDL,3.6205318324116305e-8,7.441227629766086
Cholesterol to Total Lipids in Very Large VLDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesteryl Esters to Total Lipids in Very Large VLDL percentage,3.6205318324116305e-8,7.441227629766086
Free Cholesterol to Total Lipids in Very Large VLDL percentage,3.6205318324116305e-8,7.441227629766086
Triglycerides to Total Lipids in Very Large VLDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesteryl Esters to Total Lipids in Large VLDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesterol to Total Lipids in Medium VLDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesteryl Esters to Total Lipids in Medium VLDL percentage,3.6205318324116305e-8,7.441227629766086
Free Cholesterol to Total Lipids in Medium VLDL percentage,3.6205318324116305e-8,7.441227629766086
Triglycerides to Total Lipids in Medium VLDL percentage,3.6205318324116305e-8,7.441227629766086
Phospholipids to Total Lipids in Small VLDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesterol to Total Lipids in Small VLDL percentage,3.6205318324116305e-8,7.441227629766086
Free Cholesterol to Total Lipids in Small VLDL percentage,3.6205318324116305e-8,7.441227629766086
Triglycerides to Total Lipids in Small VLDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesterol to Total Lipids in Very Small VLDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesteryl Esters to Total Lipids in Very Small VLDL percentage,3.6205318324116305e-8,7.441227629766086
Free Cholesterol to Total Lipids in Very Small VLDL percentage,3.6205318324116305e-8,7.441227629766086
Triglycerides to Total Lipids in Very Small VLDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesterol to Total Lipids in IDL percentage,3.6205318324116305e-8,7.441227629766086
Triglycerides to Total Lipids in IDL percentage,3.6205318324116305e-8,7.441227629766086
Free Cholesterol to Total Lipids in Large LDL percentage,3.6205318324116305e-8,7.441227629766086
Triglycerides to Total Lipids in Large LDL percentage,3.6205318324116305e-8,7.441227629766086
Triglycerides to Total Lipids in Medium LDL percentage,3.6205318324116305e-8,7.441227629766086
Phospholipids to Total Lipids in Very Large HDL percentage,3.6205318324116305e-8,7.441227629766086
Phospholipids to Total Lipids in Large HDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesterol to Total Lipids in Large HDL percentage,3.6205318324116305e-8,7.441227629766086
Cholesteryl Esters to Total Lipids in Large HDL percentage,3.6205318324116305e-8,7.441227629766086
Free Cholesterol to Total Lipids in Large HDL percentage,3.6205318324116305e-8,7.441227629766086
Phospholipids to Total Lipids in Medium VLDL percentage,7.433234164272779e-8,7.128822185688955
Free Cholesterol to Total Lipids in IDL percentage,7.433234164272779e-8,7.128822185688955
Cholesterol to Total Lipids in Medium LDL percentage,7.433234164272779e-8,7.128822185688955
Total Cholesterol,3.463839572762871e-7,6.460442230476067
"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",4.21152451469012e-7,6.375560666998169
Total Triglycerides,4.21152451469012e-7,6.375560666998169
Triglycerides in VLDL,4.21152451469012e-7,6.375560666998169
Phospholipids in VLDL,4.21152451469012e-7,6.375560666998169
Cholesteryl Esters in LDL,4.21152451469012e-7,6.375560666998169
Free Cholesterol in VLDL,4.21152451469012e-7,6.375560666998169
Total Lipids in VLDL,4.21152451469012e-7,6.375560666998169
Concentration of VLDL Particles,4.21152451469012e-7,6.375560666998169
Average Diameter for VLDL Particles,4.21152451469012e-7,6.375560666998169
Average Diameter for HDL Particles,4.21152451469012e-7,6.375560666998169
Triglycerides to Phosphoglycerides ratio,4.21152451469012e-7,6.375560666998169
Total Fatty Acids,4.21152451469012e-7,6.375560666998169
Degree of Unsaturation,4.21152451469012e-7,6.375560666998169
Omega-6 Fatty Acids,4.21152451469012e-7,6.375560666998169
Monounsaturated Fatty Acids,4.21152451469012e-7,6.375560666998169
Saturated Fatty Acids,4.21152451469012e-7,6.375560666998169
Polyunsaturated Fatty Acids to Total Fatty Acids percentage,4.21152451469012e-7,6.375560666998169
Monounsaturated Fatty Acids to Total Fatty Acids percentage,4.21152451469012e-7,6.375560666998169
