metabolite,metabolite_label,module_protein,k,K,n,p_fisher,q_fisher
fid_23480,Glycoprotein Acetyls,3,34,1099,35,6.728695500690905e-11,2.9606260203039985e-8
fid_23411,Total Phospholipids in Lipoprotein Particles,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23423,Total Lipids in Lipoprotein Particles,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23434,Phosphoglycerides,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23446,Polyunsaturated Fatty Acids,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23452,Omega-6 Fatty Acids to Total Fatty Acids percentage,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23455,Saturated Fatty Acids to Total Fatty Acids percentage,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23456,Linoleic Acid to Total Fatty Acids percentage,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23467,Valine,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23478,Creatinine,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23541,Cholesteryl Esters in Medium LDL,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23552,Total Lipids in Very Large HDL,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23553,Phospholipids in Very Large HDL,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23554,Cholesterol in Very Large HDL,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23556,Free Cholesterol in Very Large HDL,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23572,Concentration of Small HDL Particles,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23573,Total Lipids in Small HDL,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23574,Phospholipids in Small HDL,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23575,Cholesterol in Small HDL,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
fid_23576,Cholesteryl Esters in Small HDL,3,25,1099,25,3.949671089903597e-9,3.6205318324116305e-8
