min_abs_r,metab_quantile,min_edges_per_metab,n_edges,n_proteins,n_metabolites,dominant_frac
0.15,0.9,15,0,0,0,NA
0.15,0.9,25,0,0,0,NA
0.15,0.9,35,0,0,0,NA
0.15,0.95,15,0,0,0,NA
0.15,0.95,25,0,0,0,NA
0.15,0.95,35,0,0,0,NA
0.15,0.98,15,0,0,0,NA
0.15,0.98,25,0,0,0,NA
0.15,0.98,35,0,0,0,NA
0.2,0.9,15,0,0,0,NA
0.2,0.9,25,0,0,0,NA
0.2,0.9,35,0,0,0,NA
0.2,0.95,15,0,0,0,NA
0.2,0.95,25,0,0,0,NA
0.2,0.95,35,0,0,0,NA
0.2,0.98,15,0,0,0,NA
0.2,0.98,25,0,0,0,NA
0.2,0.98,35,0,0,0,NA
0.25,0.9,15,0,0,0,NA
0.25,0.9,25,0,0,0,NA
0.25,0.9,35,0,0,0,NA
0.25,0.95,15,0,0,0,NA
0.25,0.95,25,0,0,0,NA
0.25,0.95,35,0,0,0,NA
0.25,0.98,15,0,0,0,NA
0.25,0.98,25,0,0,0,NA
0.25,0.98,35,0,0,0,NA
